team,team_tournament,tournament,tupg
Virginia A,2014 Virginia A,ACF Nationals 2014,15.0
Michigan A,2016 Michigan A,ACF Nationals 2016,13.75
Chicago A,2016 Chicago A,ACF Nationals 2016,13.65
Virginia A,2015 Virginia A,ACF Nationals 2015,13.3
Stanford A,2010 Stanford A,ACF Nationals 2010,13.26
Chicago A,2007 Chicago A,ACF Nationals 2007,13.25
Penn A,2014 Penn A,ACF Nationals 2014,12.95
Penn A,2015 Penn A,ACF Nationals 2015,12.9
Minnesota A,2010 Minnesota A,ACF Nationals 2010,12.79
Yale A,2012 Yale A,ACF Nationals 2012,12.62
