Region,Period,Value,Units
Asia & Oceania,2021,18462.580459783,million metric tonnes carbon dioxide
Asia & Oceania,2020,17587.989053868,million metric tonnes carbon dioxide
Asia & Oceania,2019,17984.2168661,million metric tonnes carbon dioxide
Asia & Oceania,2018,17772.044167183,million metric tonnes carbon dioxide
Asia & Oceania,2017,17355.136857752,million metric tonnes carbon dioxide
Asia & Oceania,2016,17054.506453157,million metric tonnes carbon dioxide
Asia & Oceania,2015,17043.981388151,million metric tonnes carbon dioxide
Asia & Oceania,2014,17155.15232749,million metric tonnes carbon dioxide
Asia & Oceania,2013,17050.690351917,million metric tonnes carbon dioxide
Asia & Oceania,2012,16731.621337625,million metric tonnes carbon dioxide
Asia & Oceania,2011,15894.585657996,million metric tonnes carbon dioxide
Asia & Oceania,2010,14874.227455604,million metric tonnes carbon dioxide
Asia & Oceania,2009,13742.034679526,million metric tonnes carbon dioxide
Asia & Oceania,2008,12927.827163132,million metric tonnes carbon dioxide
Asia & Oceania,2007,12328.690909327,million metric tonnes carbon dioxide
Asia & Oceania,2006,11859.203005362,million metric tonnes carbon dioxide
Asia & Oceania,2005,11088.322427041,million metric tonnes carbon dioxide
Asia & Oceania,2004,10200.228489481,million metric tonnes carbon dioxide
Asia & Oceania,2003,9082.925914941,million metric tonnes carbon dioxide
Asia & Oceania,2002,8343.605642217,million metric tonnes carbon dioxide
Asia & Oceania,2001,7954.318170302,million metric tonnes carbon dioxide
Asia & Oceania,2000,7779.922917105,million metric tonnes carbon dioxide
Asia & Oceania,1999,7423.024860289,million metric tonnes carbon dioxide
Asia & Oceania,1998,7104.904467946,million metric tonnes carbon dioxide
Asia & Oceania,1997,7170.95006527,million metric tonnes carbon dioxide
Asia & Oceania,1996,7144.924394291,million metric tonnes carbon dioxide
Asia & Oceania,1995,6851.843444138,million metric tonnes carbon dioxide
Asia & Oceania,1994,6446.691134499,million metric tonnes carbon dioxide
Asia & Oceania,1993,6068.681092075,million metric tonnes carbon dioxide
Asia & Oceania,1992,5746.479532568,million metric tonnes carbon dioxide
Asia & Oceania,1991,5562.202895429,million metric tonnes carbon dioxide
Asia & Oceania,1990,5406.923495055,million metric tonnes carbon dioxide
Asia & Oceania,1989,5236.75589249,million metric tonnes carbon dioxide
Asia & Oceania,1988,5106.272325507,million metric tonnes carbon dioxide
Asia & Oceania,1987,4754.403609964,million metric tonnes carbon dioxide
Asia & Oceania,1986,4527.278230799,million metric tonnes carbon dioxide
Asia & Oceania,1985,4381.204596652,million metric tonnes carbon dioxide
Asia & Oceania,1984,4236.411793948,million metric tonnes carbon dioxide
Asia & Oceania,1983,3814.862548593,million metric tonnes carbon dioxide
Asia & Oceania,1982,3638.534209294,million metric tonnes carbon dioxide
Asia & Oceania,1981,3598.291330523,million metric tonnes carbon dioxide
Asia & Oceania,1980,3576.995582134,million metric tonnes carbon dioxide
Africa,2021,1309.449502337,million metric tonnes carbon dioxide
Africa,2020,1268.338672756,million metric tonnes carbon dioxide
Africa,2019,1340.598825646,million metric tonnes carbon dioxide
Africa,2018,1309.86899331,million metric tonnes carbon dioxide
Africa,2017,1299.278868919,million metric tonnes carbon dioxide
Africa,2016,1280.03206778,million metric tonnes carbon dioxide
Africa,2015,1273.589153099,million metric tonnes carbon dioxide
Africa,2014,1258.451067958,million metric tonnes carbon dioxide
Africa,2013,1227.690389788,million metric tonnes carbon dioxide
Africa,2012,1173.807911252,million metric tonnes carbon dioxide
Africa,2011,1135.294259332,million metric tonnes carbon dioxide
Africa,2010,1095.545932111,million metric tonnes carbon dioxide
Africa,2009,1052.483729713,million metric tonnes carbon dioxide
Africa,2008,1017.988756318,million metric tonnes carbon dioxide
Africa,2007,1002.389385105,million metric tonnes carbon dioxide
Africa,2006,1010.277942352,million metric tonnes carbon dioxide
Africa,2005,987.397958488,million metric tonnes carbon dioxide
Africa,2004,935.962713894,million metric tonnes carbon dioxide
Africa,2003,914.588794265,million metric tonnes carbon dioxide
Africa,2002,875.083622516,million metric tonnes carbon dioxide
Africa,2001,844.327657059,million metric tonnes carbon dioxide
Africa,2000,824.105533045,million metric tonnes carbon dioxide
Africa,1999,805.444295769,million metric tonnes carbon dioxide
Africa,1998,805.063445292,million metric tonnes carbon dioxide
Africa,1997,785.461612692,million metric tonnes carbon dioxide
Africa,1996,770.512216669,million metric tonnes carbon dioxide
Africa,1995,748.642134633,million metric tonnes carbon dioxide
Africa,1994,719.089386102,million metric tonnes carbon dioxide
Africa,1993,708.166945684,million metric tonnes carbon dioxide
Africa,1992,696.965552218,million metric tonnes carbon dioxide
Africa,1991,689.867218781,million metric tonnes carbon dioxide
Africa,1990,685.01179778,million metric tonnes carbon dioxide
Africa,1989,659.97804756,million metric tonnes carbon dioxide
Africa,1988,647.082622053,million metric tonnes carbon dioxide
Africa,1987,632.049397019,million metric tonnes carbon dioxide
Africa,1986,606.427635821,million metric tonnes carbon dioxide
Africa,1985,590.362468348,million metric tonnes carbon dioxide
Africa,1984,574.706329666,million metric tonnes carbon dioxide
Africa,1983,545.638873181,million metric tonnes carbon dioxide
Africa,1982,516.491545356,million metric tonnes carbon dioxide
Africa,1981,474.592040588,million metric tonnes carbon dioxide
Africa,1980,450.606292721,million metric tonnes carbon dioxide
