PPG,player,ppg,team,team_tournament,tournament
90.76923076923077,Andrew Yaphe,90.77,Stanford A,2010 Andrew Yaphe,ACF Nationals 2010
99.0909090909091,Auroni Gupta,99.09,UCSD A,2015 Auroni Gupta,ACF Nationals 2015
86.66666666666667,Ike Jose,86.67,Illinois A,2012 Ike Jose,ACF Nationals 2012
91.25,John Lawrence,91.25,London,2013 John Lawrence,ACF Nationals 2013
88.0,Jordan Brownstein,88.0,Maryland A,2016 Jordan Brownstein,ACF Nationals 2016
91.66666666666667,Jordan Brownstein,91.67,Maryland A,2017 Jordan Brownstein,ACF Nationals 2017
89.54545454545455,Matt Bollinger,89.55,Virginia A,2014 Matt Bollinger,ACF Nationals 2014
98.33333333333333,Matt Weiner,98.33,VCU A,2005 Matt Weiner,ACF Nationals 2005
96.25,Matt Weiner,96.25,VCU A,2007 Matt Weiner,ACF Nationals 2007
90.625,Mike Sorice,90.62,Illinois A,2007 Mike Sorice,ACF Nationals 2007
