Date,GRA Purchases,PRGT 1/2/,Totals,Year,Unnamed: 5,Unnamed: 6,IMF Lending as a % of GDP,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
08/31/2022,93769635059.0,15254184552.0,109000000000.0,2022.0,"96,100,000,000,000",0.001134485,0.1134485,,11997.41,12523.328,14771.979,17008.945,19125.335,20122.142,23654.018,24492.481,25328.261,26039.542,27985.29,31199.71,32068.872,31979.647,31824.477,32949.687,34039.874,33788.307,34900.086,39193.343,44116.922,47792.249,51762.962,58443.072,64108.44,60731.151,66435.818,73747.749,75116.959,77290.82,79321.72,75042.63,76267.375,80945.405,86084.955,87536.338,85238.623,96292.574,103867.109,110751.392,117007.745,123297.35,129728.878,136383.604
12/31/2021,89474552025.0,14554823681.0,104000000000.0,2021.0,"96,100,000,000,000",0.001082512,0.108251171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2020,93408630285.0,12481816684.0,106000000000.0,2020.0,"84,910,000,000,000",0.00124709,0.124709041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2019,66945509865.0,6590835450.0,73536345315.0,2019.0,"87,650,000,000,000",0.000838977,0.083897713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2018,55395611392.0,6426181029.0,61821792421.0,2018.0,"86,410,000,000,000",0.000715447,0.07154472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2017,39585385873.0,6522280669.0,46107666542.0,2017.0,"81,400,000,000,000",0.000566433,0.056643325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2016,49267630851.0,6482647937.0,55750278788.0,2016.0,"76,470,000,000,000",0.000729048,0.072904772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2015,50757840741.0,6575911158.0,57333751899.0,2015.0,"75,180,000,000,000",0.00076262,0.076261974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2014,69041563463.0,6292755583.0,75334319046.0,2014.0,"79,710,000,000,000",0.000945105,0.094510499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2013,83899249061.0,6174392682.0,90073641743.0,2013.0,"77,610,000,000,000",0.001160593,0.116059324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
