Date,GRA Purchases,PRGT 1/2/,Totals,Year,Total_billion
08/31/2022,93769635059.0,15254184552.0,109023819611.0,2022.0,109.0238196
12/31/2021,89474552025.0,14554823681.0,104029375706.0,2021.0,104.0293757
12/31/2020,93408630285.0,12481816684.0,105890446969.0,2020.0,105.890447
12/31/2019,66945509865.0,6590835450.0,73536345315.0,2019.0,73.53634532
12/31/2018,55395611392.0,6426181029.0,61821792421.0,2018.0,61.82179242
12/31/2017,39585385873.0,6522280669.0,46107666542.0,2017.0,46.10766654
12/31/2016,49267630851.0,6482647937.0,55750278788.0,2016.0,55.75027879
12/31/2015,50757840741.0,6575911158.0,57333751899.0,2015.0,57.3337519
12/31/2014,69041563463.0,6292755583.0,75334319046.0,2014.0,75.33431905
12/31/2013,83899249061.0,6174392682.0,90073641743.0,2013.0,90.07364174
12/31/2012,90042348252.0,5766292503.0,95808640755.0,2012.0,95.80864076
12/31/2011,87276915790.0,5308609594.0,92585525384.0,2011.0,92.58552538
12/31/2010,55620104510.0,4819344134.0,60439448644.0,2010.0,60.43944864
12/31/2009,37221142436.0,5079705286.0,42300847722.0,2009.0,42.30084772
12/31/2008,17514964723.0,3972372030.0,21487336753.0,2008.0,21.48733675
12/31/2007,6036146757.0,3796945581.0,9833092338.0,2007.0,9.833092338
12/31/2006,9822640239.0,3844020520.0,13666660759.0,2006.0,13.66666076
12/31/2005,28432143237.0,6282121668.0,34714264905.0,2005.0,34.71426491
12/31/2004,55373766674.0,6766029353.0,62139796027.0,2004.0,62.13979603
12/31/2003,65032062712.0,6880893268.0,71912955980.0,2003.0,71.91295598
12/31/2002,63601058794.0,6868671012.0,70469729806.0,2002.0,70.46972981
12/31/2001,53477225409.0,6424578684.0,59901804093.0,2001.0,59.90180409
12/31/2000,42990531049.0,6331595468.0,49322126517.0,2000.0,49.32212652
12/31/1999,51061861875.0,6434274362.0,57496136237.0,1999.0,57.49613624
12/31/1998,60451017051.0,6288825925.0,66739842976.0,1998.0,66.73984298
12/31/1997,46559033783.0,6009867422.0,52568901205.0,1997.0,52.56890121
12/31/1996,36127472805.0,5881609752.0,42009082557.0,1996.0,42.00908256
12/31/1995,35929173412.0,5657438528.0,41586611940.0,1995.0,41.58661194
12/31/1994,25611676952.0,4599768498.0,30211445450.0,1994.0,30.21144545
12/31/1993,25196745031.0,3942792899.0,29139537930.0,1993.0,29.13953793
12/31/1992,23967172718.0,3804463796.0,27771636514.0,1992.0,27.77163651
12/31/1991,23378573926.0,3285717796.0,26664291722.0,1991.0,26.66429172
12/31/1990,20731851093.0,2571911617.0,23303762710.0,1990.0,23.30376271
12/31/1989,22315104224.0,2334886562.0,24649990786.0,1989.0,24.64999079
12/31/1988,24750004884.0,1773964293.0,26523969177.0,1988.0,26.52396918
12/31/1987,28751979125.0,1866342930.0,30618322055.0,1987.0,30.61832206
12/31/1986,33334905644.0,2013169931.0,35348075575.0,1986.0,35.34807558
12/31/1985,35194787249.0,2470247948.0,37665035197.0,1985.0,37.6650352
12/31/1984,34936772393.0,2769874900.0,37706647293.0,1984.0,37.70664729
,,,,,
,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,
,,,,,
 2/ Formerly PRGF-ESF.,,,,,
