Country of origin (ISO),Country of asylum (ISO),Country of origin,Country of asylum,FDP,Income group,population,asylum_latitude,asylum_longitude,origin_latitude,origin_longitude,FDP over pop,fdprank,rank
VEN,PER,Venezuela,Peru,535920,Upper middle income,33359416,-9.189967,-75.015152,6.42375,-66.58973,1606.5,1,1
VEN,TTO,Venezuela,Trinidad and Tobago,21543,High income,1403374,10.691803,-61.222503,6.42375,-66.58973,1535.09,7,2
VEN,ESP,Venezuela,Spain,107697,High income,47326687,40.463667,-3.74922,6.42375,-66.58973,227.56,4,3
VEN,CRI,Venezuela,Costa Rica,8780,Upper middle income,5139053,9.748917,-83.753428,6.42375,-66.58973,170.85,8,4
VEN,ISL,Venezuela,Iceland,619,High income,372295,64.963051,-19.020835,6.42375,-66.58973,166.27,20,5
VEN,USA,Venezuela,United States,265480,High income,331893745,37.09024,-95.712891,6.42375,-66.58973,79.99,2,6
VEN,URY,Venezuela,Uruguay,2478,High income,3485152,-32.522779,-55.765835,6.42375,-66.58973,71.1,16,7
VEN,BRA,Venezuela,Brazil,134669,Upper middle income,213993441,-14.235004,-51.92528,6.42375,-66.58973,62.93,3,8
VEN,COL,Venezuela,Colombia,30082,Upper middle income,51265841,4.570868,-74.297333,6.42375,-66.58973,58.68,5,9
VEN,SUR,Venezuela,Suriname,343,Upper middle income,591798,3.919305,-56.027783,6.42375,-66.58973,57.96,22,10
VEN,PAN,Venezuela,Panama,2514,High income,4381583,8.537981,-80.782127,6.42375,-66.58973,57.38,15,11
VEN,PRY,Venezuela,Paraguay,3852,Upper middle income,7219641,-23.442503,-58.443832,6.42375,-66.58973,53.35,13,12
VEN,ECU,Venezuela,Ecuador,5053,Upper middle income,17888474,-1.831239,-78.183406,6.42375,-66.58973,28.25,10,13
VEN,CHL,Venezuela,Chile,4736,High income,19212362,-35.675147,-71.542969,6.42375,-66.58973,24.65,12,14
VEN,MEX,Venezuela,Mexico,25797,Upper middle income,130262220,23.634501,-102.552784,6.42375,-66.58973,19.8,6,15
VEN,LUX,Venezuela,Luxembourg,108,High income,639070,49.815273,6.129583,6.42375,-66.58973,16.9,29,16
VEN,MLT,Venezuela,Malta,82,High income,516869,35.937496,14.375416,6.42375,-66.58973,15.86,33,17
VEN,ARG,Venezuela,Argentina,5895,Upper middle income,45808747,-38.416097,-63.616672,6.42375,-66.58973,12.87,9,18
VEN,CAN,Venezuela,Canada,4856,High income,38246108,56.130366,-106.346771,6.42375,-66.58973,12.7,11,19
VEN,BEL,Venezuela,Belgium,729,High income,11587882,50.503887,4.469936,6.42375,-66.58973,6.29,19,20
VEN,ITA,Venezuela,Italy,3297,High income,59066225,41.87194,12.56738,6.42375,-66.58973,5.58,14,21
VEN,IRL,Venezuela,Ireland,201,High income,5028230,53.41291,-8.24389,6.42375,-66.58973,4.0,25,22
VEN,DOM,Venezuela,Dominican Rep.,278,Upper middle income,10953714,18.735693,-70.162651,6.42375,-66.58973,2.54,23,23
VEN,FRA,Venezuela,France,1657,High income,67499343,46.227638,2.213749,6.42375,-66.58973,2.45,18,24
VEN,DEU,Venezuela,Germany,1841,High income,83129285,51.165691,10.451526,6.42375,-66.58973,2.21,17,25
VEN,BOL,Venezuela,Bolivia,243,Lower middle income,11832936,-16.290154,-63.588653,6.42375,-66.58973,2.05,24,26
VEN,AUS,Venezuela,Australia,479,High income,25739256,-25.274398,133.775136,6.42375,-66.58973,1.86,21,27
VEN,BRB,Venezuela,Barbados,5,High income,287708,13.193887,-59.543198,6.42375,-66.58973,1.74,53,28
VEN,AUT,Venezuela,Austria,115,High income,8956279,47.516231,14.550072,6.42375,-66.58973,1.28,28,29
VEN,CHE,Venezuela,Switzerland,98,High income,8697723,46.818188,8.227512,6.42375,-66.58973,1.13,31,30
VEN,NLD,Venezuela,Netherlands,174,High income,17533405,52.132633,5.291266,6.42375,-66.58973,0.99,26,31
VEN,GTM,Venezuela,Guatemala,162,Upper middle income,17109746,15.783471,-90.230759,6.42375,-66.58973,0.95,27,32
VEN,MNE,Venezuela,Montenegro,5,Upper middle income,620173,42.708678,19.37439,6.42375,-66.58973,0.81,44,33
VEN,SWE,Venezuela,Sweden,82,High income,10415811,60.128161,18.643501,6.42375,-66.58973,0.79,32,34
VEN,NOR,Venezuela,Norway,41,High income,5408320,60.472024,8.468946,6.42375,-66.58973,0.76,35,35
VEN,PRT,Venezuela,Portugal,76,High income,10299423,39.399872,-8.224454,6.42375,-66.58973,0.74,34,36
VEN,SLV,Venezuela,El Salvador,25,Lower middle income,6518500,13.794185,-88.89653,6.42375,-66.58973,0.38,37,37
VEN,HND,Venezuela,Honduras,25,Lower middle income,10062994,15.199999,-86.241905,6.42375,-66.58973,0.25,36,38
VEN,FIN,Venezuela,Finland,13,High income,5541696,61.92411,25.748151,6.42375,-66.58973,0.23,41,39
VEN,GRC,Venezuela,Greece,19,High income,10664568,39.074208,21.824312,6.42375,-66.58973,0.18,38,40
VEN,ALB,Venezuela,Albania,5,Upper middle income,2811666,41.153332,20.168331,6.42375,-66.58973,0.18,45,41
VEN,GBR,Venezuela,United Kingdom,98,High income,67326569,55.378051,-3.435973,6.42375,-66.58973,0.15,30,42
VEN,CZE,Venezuela,Czechia,15,High income,10703446,49.817492,15.472962,6.42375,-66.58973,0.14,40,43
VEN,NZL,Venezuela,New Zealand,5,High income,5122600,-40.900557,174.885971,6.42375,-66.58973,0.1,51,44
VEN,DNK,Venezuela,Denmark,5,High income,5856733,56.26392,9.501785,6.42375,-66.58973,0.09,47,45
VEN,LBN,Venezuela,Lebanon,5,Upper middle income,6769151,33.854721,35.862285,6.42375,-66.58973,0.07,46,46
