PPB,axis_label,bhrd,bpts,game_id,negs,opponent,pa,packet,pf,result,round,status,team,tossups,tournament
23.0,2014 Virginia A (R3),20.0,460.0,20140306.0,0.0,Stanford A,-5.0,Illinois + USC,660.0,W,3.0,NA,Virginia A,20.0,ACF Nationals 2014
22.11,2015 Virginia A (R1),19.0,420.0,20150112.0,0.0,Notre Dame B,0.0,MIT A + Alberta,610.0,W,1.0,NA,Virginia A,19.0,ACF Nationals 2015
23.89,2014 Virginia A (R8),18.0,430.0,20140811.0,2.0,Carleton,-5.0,Virginia,600.0,W,8.0,NA,Virginia A,18.0,ACF Nationals 2014
21.67,2016 Chicago A (R7),18.0,390.0,20160720.0,1.0,Yale B,25.0,Dartmouth + Chicago B,565.0,W,7.0,NA,Chicago A,18.0,ACF Nationals 2016
22.94,2016 Michigan A (R7),17.0,390.0,20160711.0,0.0,Minnesota A,60.0,Dartmouth + Chicago B,560.0,W,7.0,NA,Michigan A,17.0,ACF Nationals 2016
22.94,2016 Chicago A (R4),17.0,390.0,20160420.0,1.0,Berkeley B,50.0,Stanford A + Louisville,555.0,W,4.0,NA,Chicago A,17.0,ACF Nationals 2016
22.94,2015 Penn A (R2),17.0,390.0,20150215.0,1.0,Kenyon,15.0,Minnesota + Washington,555.0,W,2.0,NA,Penn A,17.0,ACF Nationals 2015
20.56,2015 Virginia A (R5),18.0,370.0,20150501.0,0.0,Waterloo A,35.0,Rice + Illinois + W+M,550.0,W,5.0,NA,Virginia A,18.0,ACF Nationals 2015
20.0,2016 Michigan A (R5),18.0,360.0,20160520.0,0.0,William and Mary,25.0,Maryland A + McGill,540.0,W,5.0,NA,Michigan A,18.0,ACF Nationals 2016
20.0,2016 Michigan A (R14),18.0,360.0,20161420.0,0.0,Louisville,40.0,Editors 2,540.0,W,14.0,NA,Michigan A,18.0,ACF Nationals 2016
21.76,2013 Yale A (R7),17.0,370.0,20130704.0,0.0,Carleton,50.0,Chicago A + Maryland + Penn B,540.0,W,7.0,NA,Yale A,17.0,ACF Nationals 2013
