Industry,Average Weekly Income
Accommodation and Food Service ,276.2
Administrative and Support Service ,490.5
"Agriculture, Forestry and Fishing",419.3
"Arts, Entertainment and Recreation",448.1
Construction,692.8
Data Sceince & Data Engineers,960.8
Education,488.4
"Electricity, Gas and Water Supply",755.8
Financial & Insurance ,1745.8
Health and Social Work,499.9
Information and Communication,1016.3
Manufacturing ,629.6
Mining and Quarrying,1203.4
Other Service ,441.7
"Professional, Scientific & Technical ",854.3
Public Administration,630.8
Real Estate ,646.9
Retail Trade and Repairs,363.9
Transport and Storage,620.1
Wholesale Trade,767.8
