Unnamed: 0,field_name,response,count,freq,end_percent,start_percent,negative,end_percent2,start_percent2
0,Baggage handling,1,7975,0.061402833384662764,0.061402833384662764,0.0,True,-0.10341854019094547,-0.16482137357560825
1,Baggage handling,2,13432,0.10341854019094547,0.16482137357560825,0.061402833384662764,True,0.0,-0.10341854019094547
2,Baggage handling,3,24485,0.1885201724668925,0.3533415460425008,0.16482137357560825,False,0.18852017246689254,0.0
3,Baggage handling,4,48240,0.3714197720973206,0.7247613181398214,0.3533415460425008,False,0.5599399445642131,0.18852017246689254
4,Baggage handling,5,35748,0.27523868186017864,1.0,0.7247613181398214,False,0.8351786264243918,0.5599399445642131
5,Seat comfort,0,4797,0.03693409300893132,0.03693409300893132,0.0,True,-0.3824684323991377,-0.419402525408069
6,Seat comfort,1,20949,0.16129504157684016,0.1982291345857715,0.03693409300893132,True,-0.2211733908222975,-0.3824684323991377
7,Seat comfort,2,28726,0.2211733908222975,0.419402525408069,0.1982291345857715,True,0.0,-0.2211733908222975
8,Seat comfort,3,29183,0.22469202340622116,0.6440945488142902,0.419402525408069,False,0.2246920234062212,0.0
9,Seat comfort,4,28398,0.21864798275331074,0.862742531567601,0.6440945488142902,False,0.443340006159532,0.2246920234062212
10,Seat comfort,5,17827,0.13725746843239914,1.0,0.862742531567601,False,0.580597474591931,0.443340006159532
