ISO3,Country,Year,R&D Expenditure (% of GDP),GDP per capita (PPP),Population,Continent
AUS,Australia,2019,1.82928,51810.77671,25340217.0,Oceania
AUT,Austria,2020,3.20128,55685.97029,8916864.0,Europe
BEL,Belgium,2020,3.4772,53096.14142,11538604.0,Europe
CAN,Canada,2020,1.69781,46572.13743,38037204.0,America
CZE,Czech Republic,2020,1.99104,41608.02535,10697858.0,Europe
DNK,Denmark,2020,2.96154,60229.91477,5831404.0,Europe
FIN,Finland,2020,2.93544,50937.16075,5529543.0,Europe
FRA,France,2020,2.35493,46858.21592,67571107.0,Europe
DEU,Germany,2020,3.14426,54844.54597,83160871.0,Europe
GRC,Greece,2020,1.4961,27953.76213,10698599.0,Europe
HUN,Hungary,2020,1.60766,33274.34766,9750149.0,Europe
ISL,Iceland,2020,2.47176,53616.68471,366463.0,Europe
IRL,Ireland,2020,1.23233,93355.55516,4985382.0,Europe
ITA,Italy,2020,1.53391,41995.35753,59438851.0,Europe
JPN,Japan,2020,3.26317,42100.25769,126261000.0,Asia
KOR,South Korea,2020,4.8145,45403.03259,51836239.0,Asia
LUX,Luxembourg,2020,1.1286,117846.1365,630419.0,Europe
MEX,Mexico,2020,0.30096,19165.35778,125998302.0,America
NLD,Netherlands,2020,2.29423,59266.90858,17441500.0,Europe
NZL,New Zealand,2019,1.40774,45554.8094,4979200.0,Oceania
NOR,Norway,2020,2.27601,62644.84574,5379475.0,Europe
POL,Poland,2020,1.39205,34449.32341,37899070.0,Europe
PRT,Portugal,2020,1.6174,34177.08571,10297081.0,Europe
SVK,Slovakia,2020,0.91109,31356.45828,5458827.0,Europe
ESP,Spain,2020,1.40541,37754.56863,47365655.0,Europe
SWE,Sweden,2020,3.52722,55064.88501,10353442.0,Europe
CHE,Switzerland,2019,3.14686,72033.92944,8575280.0,Europe
TUR,Türkiye,2020,1.08893,27308.57698,84135428.0,Asia
GBR,United Kingdom,2019,1.70799,49041.46355,66836327.0,Europe
USA,United States,2020,3.45018,63027.67953,331501080.0,America
ALB,Albania,2008,0.15412,8228.290733,2947314.0,Europe
ARG,Argentina,2019,0.45713,23003.27718,44938712.0,America
ARM,Armenia,2020,0.20921,14089.23938,2805608.0,Asia
AZE,Azerbaijan,2020,0.22435,14478.52445,10093121.0,Asia
BLR,Belarus,2020,0.54897,20278.47395,9379952.0,Europe
BOL,Bolivia,2009,0.157,4902.610577,10051317.0,America
BRA,Brazil,2019,1.20803,15304.9077,211782878.0,America
BRN,Brunei Darussalam,2018,0.27763,61075.28206,434274.0,Asia
BGR,Bulgaria,2020,0.85351,24799.07454,6934015.0,Europe
BFA,Burkina Faso,2020,0.24824,2208.398229,21522626.0,Africa
KHM,Cambodia,2015,0.11823,3411.577267,15417523.0,Asia
CHN,China,2020,2.40093,17189.28179,1411100000.0,Asia
COL,Colombia,2020,0.28812,14854.52172,50930662.0,America
CRI,Costa Rica,2018,0.37144,21144.40977,5040734.0,America
HRV,Croatia,2020,1.24844,29106.58772,4047680.0,Europe
CYP,Cyprus,2020,0.82234,40611.70313,1237537.0,Asia
ECU,Ecuador,2014,0.44266,11708.653,15957994.0,America
EGY,Egypt,2020,0.96218,12004.12593,107465134.0,Africa
SLV,El Salvador,2019,0.17467,9402.17161,6280217.0,America
