Rank_1-25,ESG Score_1-25,Rank_26-50,ESG Score_26-50,Rank_51-75,ESG Score_51-75,Rank_76-100,ESG Score_76-100
Microsoft,76.30,ASML,68.41,Apple,66.15**,Abbott Labs,63.51
Linde,76.00,West Fraser Timber,68.38,Arcelor Mittal,66.15,Arista Networks,63.50
Accenture,75.95,Cabot,68.10,Fortinet,66.07,First Industrial Realty,63.25
J.B. Hunt,74.14,Moelis & Co.,67.76,Alphabet,65.76,Agilent,63.23
Xylem,73.89,Advansix,67.76,Simon Property Group,65.40,Waste Management,63.21
Texas Instruments,73.14,Advanced Micro Devices,67.67,Steel Dynamics,65.39,Danaher,63.20
Salesforce.com,72.92,Nike,67.34,Owens Corning,65.36,Darling Ingredients,63.16
Gildan Activewear,72.84,Artisan Partners,67.10,Brinks,65.34,Keysight Technologies,63.07
Metropolitan Bank,72.68,Ball Corp.,67.05,NetApp,65.33,Goldman Sachs,62.93
IHS Markit,72.60,Eaton,66.95,Ternium,65.26,Facebook,62.86
STMicroelectronics,72.37,Tradeweb Markets,66.90,Gartner,65.20,Wesco International,62.81
Nvidia,72.19,Applied Materials,66.89,Textron,65.06,Xilinx,62.81
Rogers,72.08,Fabrinet,66.86,Avery Dennison,64.98,Cadence Design Systems,62.69
Oracle,71.14,Vista Outdoor,66.80,Five Below,64.86,Semtech,62.56
Motorola Solutions,70.81,Qiagen,66.73,Chemours Co.,64.58,EBAY,62.46
Qualcomm,70.53,ASGN,66.73,Mattel,64.54,American Tower,62.32
Sherwin-Williams,70.45,Dover,66.65,Kimco Realty,64.38,Sun Communities,62.29
TE Connectivity,70.38,Thermo Fisher,66.65,Workday,64.30,Centerspace,62.27
Hewlett-Packard,70.26,American Financial Group,66.54,Yum Brands,64.30,Hologic,62.26
Exponent,70.12,CNH Industrial,66.53,Asbury Automotive,64.10,Flex,62.25
Adobe,70.06,Jabil,66.52,Northern Oil & Gas,64.03,Tractor Supply,62.21
Matson,69.68,Lam Research,66.47,Alexandria Real Estate Equities,63.89,Chipotle,62.12
Stellantis,69.22,Eli Lilly,66.43,Crane,63.75,Zoetis,62.06
Crown Holdings,68.66,ON Semiconductor,66.27,Mohawk Industries,63.59,Gentherm,61.95
Deere,68.58,Altair Engineering,66.27,Costco,63.52,Ameriprise,61.89
