DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,Total_count,area_name
2020-02-29T00:00:00,1,14,0,1,New York City
2020-03-01T00:00:00,1,4,0,2,New York City
2020-03-02T00:00:00,0,23,0,2,New York City
2020-03-03T00:00:00,2,22,0,4,New York City
2020-03-04T00:00:00,5,22,0,9,New York City
2020-03-05T00:00:00,3,21,0,12,New York City
2020-03-06T00:00:00,8,23,0,20,New York City
2020-03-07T00:00:00,7,16,0,27,New York City
2020-03-08T00:00:00,21,17,0,48,New York City
2020-03-09T00:00:00,58,52,0,106,New York City
2020-03-10T00:00:00,70,65,0,176,New York City
2020-03-11T00:00:00,155,87,1,331,New York City
2020-03-12T00:00:00,357,90,0,688,New York City
2020-03-13T00:00:00,620,148,0,1308,New York City
2020-03-14T00:00:00,642,158,2,1950,New York City
2020-03-15T00:00:00,1033,192,5,2983,New York City
2020-03-16T00:00:00,2122,309,9,5105,New York City
2020-03-17T00:00:00,2457,353,8,7562,New York City
2020-03-18T00:00:00,2980,464,20,10542,New York City
2020-03-19T00:00:00,3712,551,24,14254,New York City
2020-03-20T00:00:00,4013,662,46,18267,New York City
2020-03-21T00:00:00,2639,687,45,20906,New York City
2020-03-22T00:00:00,2580,724,50,23486,New York City
2020-03-23T00:00:00,3567,1033,82,27053,New York City
2020-03-24T00:00:00,4497,1142,94,31550,New York City
2020-03-25T00:00:00,4840,1297,120,36390,New York City
2020-03-26T00:00:00,5025,1423,186,41415,New York City
2020-03-27T00:00:00,5097,1380,212,46512,New York City
2020-03-28T00:00:00,3458,1337,265,49970,New York City
2020-03-29T00:00:00,3526,1384,286,53496,New York City
2020-03-30T00:00:00,6114,1691,321,59610,New York City
2020-03-31T00:00:00,5433,1628,372,65043,New York City
2020-04-01T00:00:00,5436,1545,431,70479,New York City
2020-04-02T00:00:00,5753,1592,486,76232,New York City
2020-04-03T00:00:00,5659,1600,482,81891,New York City
2020-04-04T00:00:00,3856,1330,488,85747,New York City
2020-04-05T00:00:00,3776,1322,565,89523,New York City
2020-04-06T00:00:00,6368,1694,564,95891,New York City
2020-04-07T00:00:00,6053,1567,590,101944,New York City
2020-04-08T00:00:00,5563,1521,544,107507,New York City
2020-04-09T00:00:00,5039,1402,534,112546,New York City
2020-04-10T00:00:00,4498,1317,517,117044,New York City
2020-04-11T00:00:00,3710,1079,523,120754,New York City
2020-04-12T00:00:00,2870,979,555,123624,New York City
2020-04-13T00:00:00,3300,1205,550,126924,New York City
2020-04-14T00:00:00,4131,1065,503,131055,New York City
2020-04-15T00:00:00,3866,971,436,134921,New York City
2020-04-16T00:00:00,3517,857,399,138438,New York City
2020-04-17T00:00:00,3574,895,366,142012,New York City
2020-04-18T00:00:00,2164,648,360,144176,New York City
2020-04-19T00:00:00,2349,592,373,146525,New York City
2020-04-20T00:00:00,3776,717,348,150301,New York City
2020-04-21T00:00:00,3055,648,306,153356,New York City
2020-04-22T00:00:00,3458,597,298,156814,New York City
2020-04-23T00:00:00,2844,517,307,159658,New York City
2020-04-24T00:00:00,2537,555,297,162195,New York City
2020-04-25T00:00:00,1593,405,239,163788,New York City
2020-04-26T00:00:00,1006,376,231,164794,New York City
2020-04-27T00:00:00,2307,443,255,167101,New York City
2020-04-28T00:00:00,2723,441,217,169824,New York City
2020-04-29T00:00:00,2341,405,228,172165,New York City
2020-04-30T00:00:00,2016,334,206,174181,New York City
2020-05-01T00:00:00,1881,343,201,176062,New York City
2020-05-02T00:00:00,1057,270,186,177119,New York City
2020-05-03T00:00:00,782,253,166,177901,New York City
2020-05-04T00:00:00,1548,289,148,179449,New York City
2020-05-05T00:00:00,1508,264,140,180957,New York City
2020-05-06T00:00:00,1402,255,136,182359,New York City
2020-05-07T00:00:00,1238,234,129,183597,New York City
2020-05-08T00:00:00,1086,248,120,184683,New York City
2020-05-09T00:00:00,671,164,99,185354,New York City
2020-05-10T00:00:00,460,140,90,185814,New York City
2020-05-11T00:00:00,1232,241,97,187046,New York City
2020-05-12T00:00:00,1286,202,85,188332,New York City
2020-05-13T00:00:00,1332,202,72,189664,New York City
2020-05-14T00:00:00,1109,183,63,190773,New York City
2020-05-15T00:00:00,869,201,83,191642,New York City
2020-05-16T00:00:00,489,140,72,192131,New York City
2020-05-17T00:00:00,363,114,67,192494,New York City
2020-05-18T00:00:00,904,142,46,193398,New York City
2020-05-19T00:00:00,995,175,50,194393,New York City
2020-05-20T00:00:00,1029,91,72,195422,New York City
2020-05-21T00:00:00,1022,82,38,196444,New York City
2020-05-22T00:00:00,986,110,50,197430,New York City
2020-05-23T00:00:00,444,61,47,197874,New York City
2020-05-24T00:00:00,459,75,36,198333,New York City
2020-05-25T00:00:00,438,63,27,198771,New York City
2020-05-26T00:00:00,684,81,23,199455,New York City
2020-05-27T00:00:00,324,40,12,199779,New York City
2020-05-28T00:00:00,108,5,8,199887,New York City
2020-05-29T00:00:00,6,0,0,199893,New York City
