ppg,team,team_tournament,tournament
458.16,Virginia A,2014 Virginia A,ACF Nationals 2014
405.25,Michigan A,2016 Michigan A,ACF Nationals 2016
403.0,Chicago A,2016 Chicago A,ACF Nationals 2016
387.0,Virginia A,2015 Virginia A,ACF Nationals 2015
376.32,Penn A,2014 Penn A,ACF Nationals 2014
371.9,Penn A,2015 Penn A,ACF Nationals 2015
368.95,Stanford A,2010 Stanford A,ACF Nationals 2010
368.12,Yale A,2012 Yale A,ACF Nationals 2012
364.33,Maryland A,2017 Maryland A,ACF Nationals 2017
352.63,Minnesota A,2010 Minnesota A,ACF Nationals 2010
