Country of origin (ISO),Country of asylum (ISO),Country of origin,Country of asylum,FDP,Income group,population,asylum_latitude,asylum_longitude,origin_latitude,origin_longitude,FDP over pop,fdprank,rank
SYR,LBN,Syria,Lebanon,840929,Upper middle income,6769151,33.854721,35.862285,34.802075,38.996815,12422.96,2,1
SYR,JOR,Syria,Jordan,672952,Upper middle income,10269022,30.585164,36.238414,34.802075,38.996815,6553.22,4,2
SYR,TUR,Syria,Turkey,3737369,Upper middle income,85042736,38.963745,35.243322,34.802075,38.996815,4394.7,1,3
SYR,CYP,Syria,Cyprus,16280,High income,1215588,35.126413,33.429859,34.802075,38.996815,1339.27,18,4
SYR,SWE,Syria,Sweden,116743,High income,10415811,60.128161,18.643501,34.802075,38.996815,1120.82,7,5
SYR,AUT,Syria,Austria,72966,High income,8956279,47.516231,14.550072,34.802075,38.996815,814.69,8,6
SYR,DEU,Syria,Germany,675490,High income,83129285,51.165691,10.451526,34.802075,38.996815,812.58,3,7
SYR,IRQ,Syria,Iraq,254561,Upper middle income,41179351,33.223191,43.679291,34.802075,38.996815,618.18,5,8
SYR,MLT,Syria,Malta,2330,High income,516869,35.937496,14.375416,34.802075,38.996815,450.79,36,9
SYR,LUX,Syria,Luxembourg,2824,High income,639070,49.815273,6.129583,34.802075,38.996815,441.89,32,10
SYR,GRC,Syria,Greece,43305,High income,10664568,39.074208,21.824312,34.802075,38.996815,406.06,10,11
SYR,DNK,Syria,Denmark,19928,High income,5856733,56.26392,9.501785,34.802075,38.996815,340.26,15,12
SYR,BGR,Syria,Bulgaria,22435,Upper middle income,6899125,42.733883,25.48583,34.802075,38.996815,325.19,12,13
SYR,NOR,Syria,Norway,16180,High income,5408320,60.472024,8.468946,34.802075,38.996815,299.17,19,14
SYR,NLD,Syria,Netherlands,45750,High income,17533405,52.132633,5.291266,34.802075,38.996815,260.93,9,15
SYR,CHE,Syria,Switzerland,20401,High income,8697723,46.818188,8.227512,34.802075,38.996815,234.56,14,16
SYR,LBY,Syria,Libya,13124,Upper middle income,6958538,26.3351,17.228331,34.802075,38.996815,188.6,20,17
SYR,BEL,Syria,Belgium,21168,High income,11587882,50.503887,4.469936,34.802075,38.996815,182.67,13,18
SYR,ARM,Syria,Armenia,5343,Upper middle income,2968128,40.069099,45.038189,34.802075,38.996815,180.01,26,19
SYR,EGY,Syria,Egypt,136727,Lower middle income,104258327,26.820553,30.802498,34.802075,38.996815,131.14,6,20
SYR,LIE,Syria,Liechtenstein,32,High income,38254,47.166,9.555373,34.802075,38.996815,83.65,93,21
SYR,ARE,Syria,United Arab Emirates,6965,High income,9991083,23.424076,53.847818,34.802075,38.996815,69.71,24,22
SYR,FRA,Syria,France,38744,High income,67499343,46.227638,2.213749,34.802075,38.996815,57.4,11,23
