Country of origin (ISO),Country of asylum (ISO),Country of origin,Country of asylum,FDP,Income group,population,asylum_latitude,asylum_longitude,origin_latitude,origin_longitude,FDP over pop,fdprank,rank
MMR,NRU,Myanmar,Nauru,71,Upper middle income,10873,-0.522778,166.931503,21.913965,95.956223,652.99,19,1
MMR,BGD,Myanmar,Bangladesh,918898,Lower middle income,166303494,23.684994,90.356331,21.913965,95.956223,552.54,1,2
MMR,MYS,Myanmar,Malaysia,155405,Upper middle income,32776195,4.210484,101.975766,21.913965,95.956223,474.14,2,3
MMR,THA,Myanmar,Thailand,96086,Upper middle income,69950844,15.870032,100.992541,21.913965,95.956223,137.36,3,4
MMR,AUS,Myanmar,Australia,1184,High income,25739256,-25.274398,133.775136,21.913965,95.956223,4.6,7,5
MMR,IND,Myanmar,India,39617,Lower middle income,1393409033,20.593684,78.96288,21.913965,95.956223,2.84,4,6
MMR,DEU,Myanmar,Germany,1362,High income,83129285,51.165691,10.451526,21.913965,95.956223,1.64,6,7
MMR,NPL,Myanmar,Nepal,478,Low income,29674920,28.394857,84.124008,21.913965,95.956223,1.61,11,8
MMR,CZE,Myanmar,Czechia,149,High income,10703446,49.817492,15.472962,21.913965,95.956223,1.39,15,9
MMR,USA,Myanmar,United States,4319,High income,331893745,37.09024,-95.712891,21.913965,95.956223,1.3,5,10
MMR,NLD,Myanmar,Netherlands,223,High income,17533405,52.132633,5.291266,21.913965,95.956223,1.27,14,11
MMR,ISR,Myanmar,Israel,104,High income,9364000,31.046051,34.851612,21.913965,95.956223,1.11,18,12
MMR,GRC,Myanmar,Greece,107,High income,10664568,39.074208,21.824312,21.913965,95.956223,1.0,17,13
MMR,KOR,Myanmar,Rep. of Korea,503,High income,51744876,35.907757,127.766922,21.913965,95.956223,0.97,10,14
MMR,GBR,Myanmar,United Kingdom,454,High income,67326569,55.378051,-3.435973,21.913965,95.956223,0.67,12,15
MMR,FIN,Myanmar,Finland,37,High income,5541696,61.92411,25.748151,21.913965,95.956223,0.67,23,16
MMR,NZL,Myanmar,New Zealand,29,High income,5122600,-40.900557,174.885971,21.913965,95.956223,0.57,28,17
MMR,FRA,Myanmar,France,367,High income,67499343,46.227638,2.213749,21.913965,95.956223,0.54,13,18
MMR,CHE,Myanmar,Switzerland,46,High income,8697723,46.818188,8.227512,21.913965,95.956223,0.53,21,19
MMR,NOR,Myanmar,Norway,27,High income,5408320,60.472024,8.468946,21.913965,95.956223,0.5,29,20
MMR,JPN,Myanmar,Japan,583,High income,125681593,36.204824,138.252924,21.913965,95.956223,0.46,9,21
MMR,AUT,Myanmar,Austria,41,High income,8956279,47.516231,14.550072,21.913965,95.956223,0.46,22,22
MMR,IRL,Myanmar,Ireland,18,High income,5028230,53.41291,-8.24389,21.913965,95.956223,0.36,31,23
MMR,SAU,Myanmar,Saudi Arabia,115,High income,35340680,23.885942,45.079162,21.913965,95.956223,0.33,16,24
MMR,DNK,Myanmar,Denmark,18,High income,5856733,56.26392,9.501785,21.913965,95.956223,0.31,30,25
MMR,IDN,Myanmar,Indonesia,682,Lower middle income,276361788,-0.789275,113.921327,21.913965,95.956223,0.25,8,26
MMR,ARM,Myanmar,Armenia,5,Upper middle income,2968128,40.069099,45.038189,21.913965,95.956223,0.17,40,27
MMR,LKA,Myanmar,Sri Lanka,35,Upper middle income,22156000,7.873054,80.771797,21.913965,95.956223,0.16,24,28
MMR,ROU,Myanmar,Romania,30,Upper middle income,19115146,45.943161,24.96676,21.913965,95.956223,0.16,27,29
MMR,BEL,Myanmar,Belgium,13,High income,11587882,50.503887,4.469936,21.913965,95.956223,0.11,35,30
MMR,SWE,Myanmar,Sweden,11,High income,10415811,60.128161,18.643501,21.913965,95.956223,0.11,36,31
MMR,KHM,Myanmar,Cambodia,15,Lower middle income,16946446,12.565679,104.990963,21.913965,95.956223,0.09,32,32
MMR,CAN,Myanmar,Canada,31,High income,38246108,56.130366,-106.346771,21.913965,95.956223,0.08,26,33
MMR,PNG,Myanmar,Papua New Guinea,5,Lower middle income,9119005,-6.314993,143.95555,21.913965,95.956223,0.05,41,34
MMR,IRN,Myanmar,Iran,34,Upper middle income,85028760,32.427908,53.688046,21.913965,95.956223,0.04,25,35
MMR,ESP,Myanmar,Spain,13,High income,47326687,40.463667,-3.74922,21.913965,95.956223,0.03,34,36
MMR,PAK,Myanmar,Pakistan,54,Lower middle income,225199929,30.375321,69.345116,21.913965,95.956223,0.02,20,37
MMR,ITA,Myanmar,Italy,14,High income,59066225,41.87194,12.56738,21.913965,95.956223,0.02,33,38
MMR,PHL,Myanmar,Philippines,10,Lower middle income,111046910,12.879721,121.774017,21.913965,95.956223,0.01,37,39
MMR,UKR,Myanmar,Ukraine,6,Lower middle income,43814581,48.379433,31.16558,21.913965,95.956223,0.01,38,40
MMR,BRA,Myanmar,Brazil,6,Upper middle income,213993441,-14.235004,-51.92528,21.913965,95.956223,0.0,39,41
MMR,MMR,Myanmar,Myanmar,0,Lower middle income,54806014,21.913965,95.956223,21.913965,95.956223,0.0,42,42
