Date,GRA Purchases,PRGT 1/2/,Totals,Year,Total (Billion),Total ($),"GDP, current prices (Billions of U.S. dollars)",IMF Credit/GDP,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,As of 31/08/22,$
09/30/2022,91088136681,15386591496,106000000000.0,2022,106.48,138.56,103496.115,0.13,,,,,,1 SDR =,1.30134
12/31/2021,89474552025,14554823681,104000000000.0,2021,104.03,135.38,97076.276,0.14,,,,,,,
12/31/2020,93408630285,12481816684,106000000000.0,2020,105.89,137.8,87654.342,0.16,,,,,,,
12/31/2019,66945509865,6590835450,73536345315.0,2019,73.54,95.7,86209.627,0.11,,,,,,,
12/31/2018,55395611392,6426181029,61821792421.0,2018,61.82,80.45,85440.667,0.09,,,,,,,
12/31/2017,39585385873,6522280669,46107666542.0,2017,46.11,60.0,81036.151,0.07,,,,,,,
12/31/2016,49267630851,6482647937,55750278788.0,2016,55.75,72.55,79429.015,0.09,,,,,,,
12/31/2015,50757840741,6575911158,57333751899.0,2015,57.33,74.61,77365.52,0.1,,,,,,,
12/31/2014,69041563463,6292755583,75334319046.0,2014,75.33,98.04,76211.252,0.13,,,,,,,
12/31/2013,83899249061,6174392682,90073641743.0,2013,90.07,117.22,75196.673,0.16,,,,,,,
12/31/2012,90042348252,5766292503,95808640755.0,2012,95.81,124.68,74944.46,0.17,,,,,,,
12/31/2011,87276915790,5308609594,92585525384.0,2011,92.59,120.49,73773.48,0.16,,,,,,,
12/31/2010,55620104510,4819344134,60439448644.0,2010,60.44,78.65,66484.526,0.12,,,,,,,
12/31/2009,37221142436,5079705286,42300847722.0,2009,42.3,55.05,64162.47,0.09,,,,,,,
12/31/2008,17514964723,3972372030,21487336753.0,2008,21.49,27.96,60782.123,0.05,,,,,,,
12/31/2007,6036146757,3796945581,9833092338.0,2007,9.83,12.8,58461.908,0.02,,,,,,,
12/31/2006,9822640239,3844020520,13666660759.0,2006,13.67,17.78,51783.269,0.03,,,,,,,
12/31/2005,28432143237,6282121668,34714264905.0,2005,34.71,45.18,47811.372,0.09,,,,,,,
12/31/2004,55373766674,6766029353,62139796027.0,2004,62.14,80.87,44134.371,0.18,,,,,,,
12/31/2003,65032062712,6880893268,71912955980.0,2003,71.91,93.58,39210.202,0.24,,,,,,,
12/31/2002,63601058794,6868671012,70469729806.0,2002,70.47,91.71,34915.511,0.26,,,,,,,
12/31/2001,53477225409,6424578684,59901804093.0,2001,59.9,77.95,34053.083,0.23,,,,,,,
12/31/2000,42990531049,6331595468,49322126517.0,2000,49.32,64.18,33801.014,0.19,,,,,,,
12/31/1999,51061861875,6434274362,57496136237.0,1999,57.5,74.82,32960.333,0.23,,,,,,,
12/31/1998,60451017051,6288825925,66739842976.0,1998,66.74,86.85,32079.199,0.27,,,,,,,
12/31/1997,46559033783,6009867422,52568901205.0,1997,52.57,68.41,31990.92,0.21,,,,,,,
12/31/1996,36127472805,5881609752,42009082557.0,1996,42.01,54.67,31835.015,0.17,,,,,,,
12/31/1995,35929173412,5657438528,41586611940.0,1995,41.59,54.12,31211.513,0.17,,,,,,,
12/31/1994,25611676952,4599768498,30211445450.0,1994,30.21,39.32,27998.304,0.14,,,,,,,
12/31/1993,25196745031,3942792899,29139537930.0,1993,29.14,37.92,26051.093,0.15,,,,,,,
12/31/1992,23967172718,3804463796,27771636514.0,1992,27.77,36.14,25339.142,0.14,,,,,,,
12/31/1991,23378573926,3285717796,26664291722.0,1991,26.66,34.7,24504.027,0.14,,,,,,,
12/31/1990,20731851093,2571911617,23303762710.0,1990,23.3,30.33,23663.342,0.13,,,,,,,
12/31/1989,22315104224,2334886562,24649990786.0,1989,24.65,32.08,20127.802,0.16,,,,,,,
12/31/1988,24750004884,1773964293,26523969177.0,1988,26.52,34.52,19131.406,0.18,,,,,,,
12/31/1987,28751979125,1866342930,30618322055.0,1987,30.62,39.84,17013.016,0.23,,,,,,,
12/31/1986,33334905644,2013169931,35348075575.0,1986,35.35,46.0,14776.085,0.31,,,,,,,
12/31/1985,35194787249,2470247948,37665035197.0,1985,37.67,49.02,12531.04,0.39,,,,,,,
12/31/1984,34936772393,2769874900,37706647293.0,1984,37.71,49.07,12001.655,0.41,,,,,,,
