region,marginal_region,marginal_bmu,bmu_name,bmu_type,intensity
North Scotland,North Scotland,T_BDCHW-1,Bad a Cheo Wind Farm ,Wind (Onshore),0.0
South Scotland,South Scotland,V__NFLEX001,South Scotland GSP Group - Flexitricity Limited ,Virtual parties,0.0
North West England,North West England,2__GANGE004,North Western GSP Group - Limejump Energy Limited ,GSP: North West England,0.0
North East England,East Midlands,T_STAY-3,Staythorpe Unit 3 ,CCGT,378.0
Yorkshire and the Humber,East Midlands,T_STAY-3,Staythorpe Unit 3 ,CCGT,378.0
Merseyside and North Wales,Merseyside and North Wales,2__DSTAT001,Merseyside and North Wales GSP Group - Statkraft Markets Gmbh ,GSP: Merseyside and North Wales,0.0
South Wales,South Wales,2__KANGE001,South Wales GSP Group - Limejump Energy Limited ,GSP: South Wales,0.0
West Midlands,South East England,T_MEDP-1,Medway ,CCGT,394.9
East Midlands,East Midlands,T_STAY-3,Staythorpe Unit 3 ,CCGT,378.0
South West England,South West England,2__LSTAT001,South Western GSP Group - Statkraft Markets Gmbh ,GSP: South West England,0.0
South England,South East England,T_MEDP-1,Medway ,CCGT,394.9
East England,South East England,T_MEDP-1,Medway ,CCGT,394.9
London,London,T_EECL-1,Enfield Energy ,CCGT,391.4
South East England,South East England,T_MEDP-1,Medway ,CCGT,394.9
