count,value
338,Albany
338,Atlanta
338,BaltimoreWashington
338,Boise
338,Boston
338,BuffaloRochester
338,California
338,Charlotte
338,Chicago
338,CincinnatiDayton
338,Columbus
338,DallasFtWorth
338,Denver
338,Detroit
338,GrandRapids
338,GreatLakes
338,HarrisburgScranton
338,HartfordSpringfield
338,Houston
338,Indianapolis
338,Jacksonville
338,LasVegas
338,LosAngeles
338,Louisville
338,MiamiFtLauderdale
338,Midsouth
338,Nashville
338,NewOrleansMobile
338,NewYork
338,Northeast
338,NorthernNewEngland
338,Orlando
338,Philadelphia
338,PhoenixTucson
338,Pittsburgh
338,Plains
338,Portland
338,RaleighGreensboro
338,RichmondNorfolk
338,Roanoke
338,Sacramento
338,SanDiego
338,SanFrancisco
338,Seattle
338,SouthCarolina
338,SouthCentral
338,Southeast
338,Spokane
338,StLouis
338,Syracuse
338,Tampa
338,TotalUS
338,West
335,WestTexNewMexico
