County,Recent Crime Count,Crime Rate(%)
Antrim,41012,6.9
Armagh,6386,6.6000000000000005
Bedfordshire,48647,7.199999999999999
Berkshire,62036,6.800000000000001
Bristol,49181,10.6
Buckinghamshire,51730,6.4
Cambridgeshire,61062,7.1
Cheshire,77694,7.3
Clwyd,40679,8.1
Cornwall,24467,4.3
Cumbria,33217,6.6000000000000005
Derbyshire,77636,7.3
Devon,61574,5.1
Dorset,46566,6.0
Down,15052,4.5
Durham,77040,8.9
Dyfed,23200,6.0
East Riding of Yorkshire,49763,8.3
East Sussex,57680,6.800000000000001
Essex,143679,7.8
Fermanagh,1252,5.9
Gloucestershire,43368,4.7
Gwent,43162,7.3
Gwynedd,12166,6.3
Hampshire,129980,7.000000000000001
Herefordshire,9918,5.2
Hertfordshire,71218,6.0
Isle of Wight,9562,6.800000000000001
Kent,158500,8.5
Lancashire,109295,7.199999999999999
Leicestershire,75836,7.199999999999999
Lincolnshire,81979,7.5
London,782816,8.7
Londonderry,11231,6.5
Merseyside,126436,8.799999999999999
Mid Glamorgan,30811,6.9
Norfolk,63254,7.000000000000001
North Yorkshire,79956,6.9
Northamptonshire,62894,8.4
Northumberland,23126,7.199999999999999
Nottinghamshire,85283,7.3
Oxfordshire,40680,5.9
Powys,6611,5.0
Rutland,1402,3.5000000000000004
Shropshire,28983,5.800000000000001
Somerset,56583,5.800000000000001
South Glamorgan,42229,8.4
South Yorkshire,126273,9.0
Staffordshire,33097,2.9000000000000004
Suffolk,50852,6.7
Surrey,60140,5.0
Tyne & Wear,104912,9.2
Tyrone,4583,5.7
Warwickshire,37911,6.6000000000000005
West Glamorgan,27486,7.000000000000001
West Midlands,266479,9.1
West Sussex,50546,5.9
West Yorkshire,243047,10.4
Wiltshire,37654,5.2
Worcestershire,37125,6.2
