PPG,player,ppg,team,team_tournament,tournament
93.6842105263158,Andrew Yaphe,93.68,Stanford A,2010 Andrew Yaphe,ACF Nationals 2010
83.25,Auroni Gupta,83.25,UCSD A,2015 Auroni Gupta,ACF Nationals 2015
97.0,Jerry Vinokurov,97.0,Brown A,2006 Jerry Vinokurov,ACF Nationals 2006
91.47058823529412,John Lawrence,91.47,London,2013 John Lawrence,ACF Nationals 2013
85.26315789473684,Jordan Brownstein,85.26,Maryland A,2016 Jordan Brownstein,ACF Nationals 2016
87.33333333333333,Jordan Brownstein,87.33,Maryland A,2017 Jordan Brownstein,ACF Nationals 2017
87.10526315789474,Matt Bollinger,87.11,Virginia A,2014 Matt Bollinger,ACF Nationals 2014
91.66666666666667,Matt Weiner,91.67,VCU A,2007 Matt Weiner,ACF Nationals 2007
83.33333333333333,Ryan Westbrook,83.33,Wayne State,2007 Ryan Westbrook,ACF Nationals 2007
85.0,Seth Kendall,85.0,Kentucky,2007 Seth Kendall,ACF Nationals 2007
