PPB,axis_label,bhrd,bpts,game_id,negs,opponent,pa,packet,pf,result,round,status,team,tossups,tournament
20.0,2017 Yale A (R14),10.0,200.0,20171415.0,1.0,Michigan A,310.0,Editors 5,295.0,L,14.0,NA,Yale A,10.0,ACF Nationals 2017
23.33,2013 Penn A (R14),9.0,210.0,20131402.0,1.0,Yale A,310.0,Editors 2,295.0,L,14.0,NA,Penn A,9.0,ACF Nationals 2013
20.0,2012 Penn A (R15),10.0,200.0,20121507.0,2.0,Yale A,330.0,NA,290.0,L,15.0,NA,Penn A,10.0,ACF Nationals 2012
19.0,2019 Columbia A (R13),10.0,190.0,20191306.0,1.0,Minnesota A,295.0,Editors 4,285.0,L,13.0,NA,Columbia A,10.0,ACF Nationals 2019
19.0,2010 Penn A (R18),10.0,190.0,20101810.0,1.0,Chicago A,290.0,NA,285.0,L,18.0,NA,Penn A,10.0,ACF Nationals 2010
19.0,2016 MIT A (R15),10.0,190.0,20161512.0,2.0,Yale A,315.0,VCU + Virginia + Oxford,280.0,L,15.0,NA,MIT A,10.0,ACF Nationals 2016
21.11,2014 Chicago A (R21),9.0,190.0,20142103.0,0.0,Yale A,305.0,NA,280.0,L,21.0,NA,Chicago A,9.0,ACF Nationals 2014
18.0,2017 Stanford A (R15),10.0,180.0,20171508.0,1.0,Michigan A,350.0,Editors 6,275.0,L,15.0,NA,Stanford A,10.0,ACF Nationals 2017
17.27,2017 Stanford A (R18),11.0,190.0,20171805.0,5.0,Chicago A,295.0,Illinois + Rutgers,275.0,L,18.0,NA,Stanford A,11.0,ACF Nationals 2017
18.0,2016 Berkeley A (R9),10.0,180.0,20160913.0,1.0,Michigan A,315.0,MIT A,275.0,L,9.0,UG,Berkeley A,10.0,ACF Nationals 2016
