INDICATORS,DECL,PRCCODE,PRCCODE_LABEL,PERIOD,Value,Flag and Footnotes
PRODQNT,France,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,450600078.0,
PRODQNT,Netherlands,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,115828000.0,
PRODQNT,Germany,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,493945671.0,
PRODQNT,Italy,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,435463054.0,
PRODQNT,United Kingdom,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,328055041.0,
PRODQNT,Ireland,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,,(1)
PRODQNT,Denmark,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,17992244.0,
PRODQNT,Greece,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,30152950.0,
PRODQNT,Portugal,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,,(1)
PRODQNT,Spain,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,307065000.0,
PRODQNT,Belgium,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,209300306.0,
PRODQNT,Luxemburg,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,0.0,
PRODQNT,Iceland,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,,(1)
PRODQNT,Norway,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,,(1)
PRODQNT,Sweden,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,99141300.0,
PRODQNT,Finland,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,39897381.0,
PRODQNT,Austria,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,2757396.0,
PRODQNT,Malta,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,0.0,
PRODQNT,Estonia,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,20349800.0,
PRODQNT,Latvia,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,,(1)
PRODQNT,Lithuania,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,42112321.0,
PRODQNT,Poland,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,237755600.0,
PRODQNT,Czechia,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,50905000.0,
PRODQNT,Slovakia,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,176103.0,
PRODQNT,Hungary,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,65009000.0,(2)
PRODQNT,Romania,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,49862002.0,
PRODQNT,Bulgaria,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,29673973.0,
PRODQNT,Slovenia,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,,(1)
PRODQNT,Croatia,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,34846400.0,
PRODQNT,Cyprus,10521000,"Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)",Jan.-Dez. 2018,0.0,
