Line,Number,Item,shortName,Value,privatePublic,Source
1,1,Gross domestic product,GDP,25723.9,Private,"U.S. Bureau of Economic Analysis, ""Value Added by Industry"" (accessed Monday, January 23, 2023)."
2,2,Private industries,Private sector,22743.7,Private,
3,3,"Agriculture, forestry, fishing, and hunting",Agriculture,296.3,Private,
6,4,Mining,Mining,520.1,Private,
10,5,Utilities,Utilities,469.4,Private,
11,6,Construction,Construction,1008.9,Private,
12,7,Manufacturing,Manufacturing,2808.9,Private,
34,8,Wholesale trade,Wholesale,1626.9,Private,
35,9,Retail trade,Reail,1478.2,Private,
40,10,Transportation and warehousing,Transport,829.9,Private,
49,11,Information,IT,1416.5,Private,
54,12,"Finance, insurance, real estate, rental, and leasing",Finance,5169.0,Private,
65,13,Professional and business services,Professional,3357.5,Private,
74,14,"Educational services, health care, and social assistance",Education,2155.2,Private,
81,15,"Arts, entertainment, recreation, accommodation, and food services",Recreation,1080.5,Private,
89,16,Government,Government,2980.2,Government,
90,17,Federal,Federal,923.7,Government,
95,18,State and local,State and local,2056.5,Government,
98,19,Private goods-producing industries1,Goods,4634.2,XYZ,
99,20,Private services-producing industries2,Services,18109.5,XYZ,
