Ages,Category,Value
  0-4,%current_pop,5.536338382
  0-4,%_imm,11.5229786
  5-9,%current_pop,6.217216428
  5-9,%_imm,7.115400779
 10-14,%current_pop,6.165263596
 10-14,%_imm,6.311645448
 15-19,%current_pop,5.593268361
 15-19,%_imm,11.76202893
 20-24,%current_pop,6.044537392
 20-24,%_imm,18.85315334
 25-29,%current_pop,6.575870368
 25-29,%_imm,17.12084699
30-44,%current_pop,19.60575813
30-44,%_imm,21.07793452
 45-59,%current_pop,19.75117113
 45-59,%_imm,4.881975138
60-74,%current_pop,15.70874294
60-74,%_imm,1.157269924
75-84,%current_pop,6.249438486
75-84,%_imm,0.16654066
85+,%current_pop,2.518128693
85+,%_imm,0.030225672
