ppg,team,team_tournament,tournament
484.55,Virginia A,2014 Virginia A,ACF Nationals 2014
458.0,Chicago A,2016 Chicago A,ACF Nationals 2016
441.82,Virginia A,2015 Virginia A,ACF Nationals 2015
435.0,Penn A,2014 Penn A,ACF Nationals 2014
429.09,Penn A,2015 Penn A,ACF Nationals 2015
428.0,Michigan A,2016 Michigan A,ACF Nationals 2016
427.5,Yale A,2012 Yale A,ACF Nationals 2012
408.33,Maryland A,2017 Maryland A,ACF Nationals 2017
399.38,Virginia A,2013 Virginia A,ACF Nationals 2013
396.25,Illinois A,2013 Illinois A,ACF Nationals 2013
