pacbioRun,filter_reason,count,total_counts,frac_counts
Lib-1_220531,barcode clip3,1005,725265,0.0013857003991644434
Lib-1_220531,barcode mutation_nt_count,27767,725265,0.03828531640159114
Lib-1_220531,gene clip3,12099,725265,0.016682178238299105
Lib-1_220531,gene mutation_nt_count,16703,725265,0.023030202753476316
Lib-1_220531,query_clip3,9682,725265,0.013349603248467802
Lib-1_220531,query_clip5,11684,725265,0.016109973595858067
Lib-1_220531,termini3 clip3,3431,725265,0.004730684646301697
Lib-1_220531,termini3 mutation_nt_count,4992,725265,0.006883001385700399
Lib-1_220531,termini5 clip5,20247,725265,0.027916692519286055
Lib-1_220531,termini5 mutation_nt_count,3702,725265,0.005104341171847532
Lib-1_220531,variant_tag3 mutation_nt_count,4155,725265,0.005728940456247027
Lib-1_220531,variant_tag5 mutation_nt_count,2346,725265,0.003234679737751029
Lib-1_220710,barcode clip3,578,1006376,0.0005743380207795098
Lib-1_220710,barcode mutation_nt_count,17868,1006376,0.01775479542437419
Lib-1_220710,gene clip3,5644,1006376,0.0056082418499646255
Lib-1_220710,gene mutation_nt_count,21677,1006376,0.021539663108023244
Lib-1_220710,query_clip3,3932,1006376,0.003907088404333967
Lib-1_220710,query_clip5,4542,1006376,0.00451322368577947
Lib-1_220710,termini3 clip3,2442,1006376,0.0024265284545736386
Lib-1_220710,termini3 mutation_nt_count,5755,1006376,0.005718538597899791
Lib-1_220710,termini5 clip5,7677,1006376,0.007628361566651033
Lib-1_220710,termini5 mutation_nt_count,4473,1006376,0.004444660842468421
Lib-1_220710,variant_tag3 mutation_nt_count,4014,1006376,0.0039885688847905755
Lib-1_220710,variant_tag5 mutation_nt_count,1543,1006376,0.0015332241627383802
Lib-1_220711,barcode clip3,470,947399,0.0004960950982637727
Lib-1_220711,barcode mutation_nt_count,17120,947399,0.018070527834629337
Lib-1_220711,gene clip3,5380,947399,0.005678705592891696
Lib-1_220711,gene mutation_nt_count,20333,947399,0.02146191836807934
Lib-1_220711,query_clip3,3484,947399,0.0036774368560659235
Lib-1_220711,query_clip5,3954,947399,0.004173531954329696
Lib-1_220711,termini3 clip3,2318,947399,0.0024466988037775005
Lib-1_220711,termini3 mutation_nt_count,5680,947399,0.005995362038591977
Lib-1_220711,termini5 clip5,7126,947399,0.007521646106867328
Lib-1_220711,termini5 mutation_nt_count,4385,947399,0.004628461714652432
Lib-1_220711,variant_tag3 mutation_nt_count,3941,947399,0.004159810175016017
Lib-1_220711,variant_tag5 mutation_nt_count,1608,947399,0.0016972785489535033
Lib-2_220629,barcode clip3,1702,3176999,0.000535725695853225
Lib-2_220629,barcode mutation_nt_count,37748,3176999,0.011881653094634275
Lib-2_220629,gene clip3,17387,3176999,0.005472774778965936
Lib-2_220629,gene mutation_nt_count,68220,3176999,0.02147309457761869
Lib-2_220629,query_clip3,16597,3176999,0.005224112440702688
Lib-2_220629,query_clip5,18192,3176999,0.005726158554031651
Lib-2_220629,termini3 clip3,5098,3176999,0.0016046589879316927
Lib-2_220629,termini3 mutation_nt_count,18710,3176999,0.005889205504943502
Lib-2_220629,termini5 clip5,23667,3176999,0.007449482986932007
Lib-2_220629,termini5 mutation_nt_count,16067,3176999,0.005057288340348864
Lib-2_220629,variant_tag3 mutation_nt_count,9914,3176999,0.003120554963977011
Lib-2_220629,variant_tag5 mutation_nt_count,4297,3176999,0.0013525342626799694
Lib-3_220629,barcode clip3,1559,3228613,0.000482869888710725
Lib-3_220629,barcode mutation_nt_count,44417,3228613,0.01375730073564097
Lib-3_220629,gene clip3,14789,3228613,0.004580604736461137
Lib-3_220629,gene mutation_nt_count,70697,3228613,0.02189701893661458
Lib-3_220629,query_clip3,14531,3228613,0.004500694260972126
Lib-3_220629,query_clip5,17614,3228613,0.005455593470013284
Lib-3_220629,termini3 clip3,4698,3228613,0.0014551140071603502
Lib-3_220629,termini3 mutation_nt_count,13716,3228613,0.004248263882973897
Lib-3_220629,termini5 clip5,23455,3228613,0.007264729467421459
Lib-3_220629,termini5 mutation_nt_count,16135,3228613,0.004997502023314656
Lib-3_220629,variant_tag3 mutation_nt_count,13159,3228613,0.004075743980464676
Lib-3_220629,variant_tag5 mutation_nt_count,2210,3228613,0.000684504460584158
Lib-1_220531,aligned,607452,725265,0.8375586854460094
Lib-1_220710,aligned,926231,1006376,0.9203627669976232
Lib-1_220711,aligned,871600,947399,0.9199925269078815
Lib-2_220629,aligned,2939400,3176999,0.9252127558113805
Lib-3_220629,aligned,2991633,3228613,0.926600060149668
