Unnamed: 0,Country,Time,Frequency,MEAS,Value,vegaistrash,mean,rank
0,Colombia,2000,Annual,PCT,12.3,stop,9.91904761904762,L
1,Colombia,2001,Annual,PCT,12.3,stop,9.91904761904762,L
2,Colombia,2002,Annual,PCT,10.9,stop,9.91904761904762,L
3,Colombia,2003,Annual,PCT,10.9,stop,9.91904761904762,L
4,Colombia,2004,Annual,PCT,10.5,stop,9.91904761904762,L
5,Colombia,2005,Annual,PCT,9.6,stop,9.91904761904762,L
6,Colombia,2006,Annual,PCT,9.6,stop,9.91904761904762,L
7,Colombia,2007,Annual,PCT,9.6,stop,9.91904761904762,L
8,Colombia,2008,Annual,PCT,9.6,stop,9.91904761904762,L
9,Colombia,2009,Annual,PCT,9.4,stop,9.91904761904762,L
10,Colombia,2010,Annual,PCT,9.2,stop,9.91904761904762,L
11,Colombia,2011,Annual,PCT,9.1,stop,9.91904761904762,L
12,Colombia,2012,Annual,PCT,9.1,stop,9.91904761904762,L
13,Colombia,2013,Annual,PCT,9.7,stop,9.91904761904762,L
14,Colombia,2014,Annual,PCT,9.6,stop,9.91904761904762,L
15,Colombia,2015,Annual,PCT,9.4,stop,9.91904761904762,L
16,Colombia,2016,Annual,PCT,9.5,stop,9.91904761904762,L
17,Colombia,2017,Annual,PCT,9.5,stop,9.91904761904762,L
18,Colombia,2018,Annual,PCT,9.5,stop,9.91904761904762,L
19,Colombia,2019,Annual,PCT,9.5,stop,9.91904761904762,L
20,Colombia,2020,Annual,PCT,9.5,stop,9.91904761904762,L
21,Denmark,2000,Annual,PCT,74.5,stop,69.56666666666668,C
22,Denmark,2001,Annual,PCT,73.9,stop,69.56666666666668,C
23,Denmark,2002,Annual,PCT,73.6,stop,69.56666666666668,C
24,Denmark,2003,Annual,PCT,72.4,stop,69.56666666666668,C
25,Denmark,2004,Annual,PCT,71.7,stop,69.56666666666668,C
26,Denmark,2005,Annual,PCT,71.5,stop,69.56666666666668,C
27,Denmark,2006,Annual,PCT,69.7,stop,69.56666666666668,C
28,Denmark,2007,Annual,PCT,69.0,stop,69.56666666666668,C
29,Denmark,2008,Annual,PCT,68.8,stop,69.56666666666668,C
30,Denmark,2009,Annual,PCT,68.9,stop,69.56666666666668,C
31,Denmark,2010,Annual,PCT,68.1,stop,69.56666666666668,C
32,Denmark,2011,Annual,PCT,68.7,stop,69.56666666666668,C
33,Denmark,2012,Annual,PCT,69.0,stop,69.56666666666668,C
34,Denmark,2013,Annual,PCT,68.8,stop,69.56666666666668,C
35,Denmark,2014,Annual,PCT,68.5,stop,69.56666666666668,C
36,Denmark,2015,Annual,PCT,68.2,stop,69.56666666666668,C
37,Denmark,2016,Annual,PCT,67.4,stop,69.56666666666668,C
38,Denmark,2017,Annual,PCT,66.7,stop,69.56666666666668,C
39,Denmark,2018,Annual,PCT,67.5,stop,69.56666666666668,C
40,Denmark,2019,Annual,PCT,67.0,stop,69.56666666666668,C
41,Denmark,2020,Annual,PCT,67.0,stop,69.56666666666668,C
42,Finland,2000,Annual,PCT,74.2,stop,69.13333333333333,D
43,Finland,2001,Annual,PCT,76.6,stop,69.13333333333333,D
44,Finland,2002,Annual,PCT,75.7,stop,69.13333333333333,D
45,Finland,2003,Annual,PCT,74.5,stop,69.13333333333333,D
46,Finland,2004,Annual,PCT,73.5,stop,69.13333333333333,D
47,Finland,2005,Annual,PCT,72.7,stop,69.13333333333333,D
48,Finland,2006,Annual,PCT,71.9,stop,69.13333333333333,D
49,Finland,2007,Annual,PCT,71.1,stop,69.13333333333333,D
50,Finland,2008,Annual,PCT,69.9,stop,69.13333333333333,D
51,Finland,2009,Annual,PCT,72.5,stop,69.13333333333333,D
52,Finland,2010,Annual,PCT,71.4,stop,69.13333333333333,D
53,Finland,2011,Annual,PCT,69.6,stop,69.13333333333333,D
54,Finland,2012,Annual,PCT,69.2,stop,69.13333333333333,D
55,Finland,2013,Annual,PCT,67.5,stop,69.13333333333333,D
56,Finland,2014,Annual,PCT,67.8,stop,69.13333333333333,D
57,Finland,2015,Annual,PCT,67.5,stop,69.13333333333333,D
58,Finland,2016,Annual,PCT,65.7,stop,69.13333333333333,D
59,Finland,2017,Annual,PCT,62.9,stop,69.13333333333333,D
60,Finland,2018,Annual,PCT,60.0,stop,69.13333333333333,D
61,Finland,2019,Annual,PCT,58.8,stop,69.13333333333333,D
62,Finland,2020,Annual,PCT,58.8,stop,69.13333333333333,D
63,France,2000,Annual,PCT,10.8,stop,10.752380952380951,I
64,France,2001,Annual,PCT,10.8,stop,10.752380952380951,I
65,France,2002,Annual,PCT,10.8,stop,10.752380952380951,I
66,France,2003,Annual,PCT,10.8,stop,10.752380952380951,I
67,France,2004,Annual,PCT,10.5,stop,10.752380952380951,I
68,France,2005,Annual,PCT,10.5,stop,10.752380952380951,I
69,France,2006,Annual,PCT,10.5,stop,10.752380952380951,I
70,France,2007,Annual,PCT,10.5,stop,10.752380952380951,I
71,France,2008,Annual,PCT,10.6,stop,10.752380952380951,I
72,France,2009,Annual,PCT,10.6,stop,10.752380952380951,I
73,France,2010,Annual,PCT,10.8,stop,10.752380952380951,I
74,France,2011,Annual,PCT,10.8,stop,10.752380952380951,I
75,France,2012,Annual,PCT,10.8,stop,10.752380952380951,I
76,France,2013,Annual,PCT,11.0,stop,10.752380952380951,I
77,France,2014,Annual,PCT,11.0,stop,10.752380952380951,I
