Day,Yoga Class,Zumba Class,Cooking Workshop,Photography Club,Book Club,Gardening Club,Language Exchange
Monday,30%,10%,15%,5%,20%,10%,10%
Tuesday,10%,30%,10%,10%,20%,10%,10%
Wednesday,25%,15%,20%,10%,10%,10%,10%
Thursday,10%,25%,10%,15%,20%,5%,15%
Friday,20%,10%,30%,5%,15%,10%,10%
Saturday,15%,10%,10%,20%,10%,20%,15%
Sunday,20%,10%,10%,10%,15%,10%,25%
Week 2 Monday,32%,8%,14%,6%,20%,10%,10%
Week 2 Tuesday,8%,31%,9%,12%,20%,10%,10%
Week 2 Wednesday,24%,17%,21%,11%,7%,10%,10%
Week 2 Thursday,9%,27%,11%,16%,21%,6%,10%
Week 2 Friday,19%,11%,32%,4%,14%,9%,11%
