Year,Pop,Rock,Jazz,Electronic,Hip Hop,Country,Classical,Folk,Reggae,Latin,Blues,R&B
2011,10%,20%,15%,5%,20%,10%,5%,5%,5%,3%,1%,1%
2012,9%,18%,16%,6%,22%,9%,5%,4%,5%,3%,2%,1%
2013,11%,17%,15%,7%,19%,10%,6%,4%,5%,3%,2%,1%
2014,12%,16%,14%,10%,18%,9%,5%,3%,5%,4%,2%,2%
2015,13%,15%,13%,12%,17%,8%,4%,3%,5%,5%,3%,2%
2016,15%,13%,12%,15%,16%,7%,3%,3%,5%,6%,3%,2%
2017,14%,12%,11%,18%,15%,6%,3%,3%,6%,7%,3%,2%
2018,13%,12%,12%,20%,14%,5%,2%,3%,6%,8%,3%,2%
2019,12%,13%,12%,22%,13%,4%,2%,3%,6%,9%,3%,1%
2020,15%,10%,12%,25%,13%,3%,2%,3%,5%,9%,2%,1%
2021,17%,8%,10%,28%,12%,3%,2%,2%,5%,10%,2%,1%
2022,18%,7%,9%,30%,11%,2%,1%,2%,5%,11%,2%,1%
