Week,Yoga,Pilates,Spin Class,HIIT,Zumba,Tai Chi
2023-01-01 - 2023-01-07,120,80,150,140,130,60
2023-01-08 - 2023-01-14,130,75,155,135,125,65
2023-01-15 - 2023-01-21,125,82,160,145,128,68
2023-01-22 - 2023-01-28,128,79,165,130,140,70
2023-01-29 - 2023-02-04,135,85,158,150,135,73
2023-02-05 - 2023-02-11,140,80,162,155,133,75
2023-02-12 - 2023-02-18,145,78,169,160,137,72
2023-02-19 - 2023-02-25,138,82,166,162,139,74
2023-02-26 - 2023-03-04,142,85,170,165,144,76
2023-03-05 - 2023-03-11,150,89,175,168,140,78
2023-03-12 - 2023-03-18,155,92,180,170,145,80
2023-03-19 - 2023-03-25,160,94,185,175,148,82
