""
Topic, Data Points, Value
Health & Psychology, Happiness Index, 7.8
Health & Psychology, Stress Levels, 4.3
Health & Psychology, Physical Health, 6.5
Health & Psychology, Mental Well-being, 5.2
Health & Psychology, Life Satisfaction, 7.0
Health & Psychology, Social Connections, 6.8
Health & Psychology, Work-Life Balance, 5.7
Health & Psychology, Financial Security, 6.0
Health & Psychology, Personal Growth, 5.9
Health & Psychology, Sleep Quality, 5.1
Health & Psychology, Exercise Frequency, 6.3
Health & Psychology, Nutritional Health, 6.6
""
