""
cities,meteor_showers
New York,5
Los Angeles,12
Chicago,7
Houston,15
Phoenix,3
Philadelphia,9
San Antonio,10
San Diego,4
Dallas,11
San Jose,6
Austin,13
Jacksonville,17
San Francisco,8
Columbus,14
Indianapolis,7
Fort Worth,16
Charlotte,14
Seattle,13
Denver,12
Washington D.C.,9
Boston,8
El Paso,3
Nashville,14
Detroit,11
Portland,15
Las Vegas,2
Memphis,16
Baltimore,10
Milwaukee,6
Albuquerque,5
Tucson,4
Fresno,5
Sacramento,6
Kansas City,12
Atlanta,15
Miami,18
New Orleans,20
Tampa,17
Orlando,19
Cleveland,11
""
