""
City,Population
Tokyo,37400068
Delhi,28514000
Shanghai,25582000
Sao Paulo,21650000
Mumbai,20411000
Cairo,20076000
Beijing,19618000
Dhaka,19578000
Mexico City,21581000
Osaka,19281000
Karachi,15400000
Chongqing,15354000
Istanbul,15030000
Buenos Aires,14900000
Kolkata,14850000
Lagos,14203000
Kinshasa,13656000
Manila,13482000
Tianjin,13317000
Rio de Janeiro,13293000
Guangzhou,13081000
Lahore,12188000
Bangalore,11978000
Paris,10858000
Bogota,10816000
Jakarta,10780000
Chennai,10470000
Lima,10150000
Bangkok,10302000
Hyderabad,9746000
""
