""
Topic,Average Hours Spent
Arts & Design,5
Future Technologies & Society,8
Education & Learning,6.5
Food & Nutrition,4.5
Politics & Governance,7
Health & Psychology,6
Science & Nature,8.5
Business & Entrepreneurship,5.5
Fashion & Beauty,4
Astronomy & Space Exploration,9
History & Archaeology,6
Sports & Fitness,7.5
Music & Performing Arts,5.2
Environment & Climate Change,7.8
Culture & Society,6.1
Entertainment & Leisure,8
Economics & Finance,6.7
Literature & Writing,7.2
Philosophy & Ethics,5.8
Travel & Adventure,7.3
""
