""
Date,Value
2024-01-01,22
2024-02-01,28
2024-03-01,25
2024-04-01,33
2024-05-01,38
2024-06-01,43
2024-07-01,48
2024-08-01,52
2024-09-01,57
2024-10-01,55
2024-11-01,59
2024-12-01,63
2025-01-01,68
2025-02-01,70
2025-03-01,73
2025-04-01,75
2025-05-01,78
2025-06-01,81
2025-07-01,83
2025-08-01,86
2025-09-01,89
2025-10-01,92
2025-11-01,94
2025-12-01,98
2026-01-01,100
2026-02-01,105
2026-03-01,110
2026-04-01,115
2026-05-01,120
2026-06-01,125
2026-07-01,130
2026-08-01,135
2026-09-01,140
2026-10-01,145
2026-11-01,150
2026-12-01,155
2027-01-01,160
2027-02-01,165
2027-03-01,170
2027-04-01,175
2027-05-01,180
2027-06-01,185
2027-07-01,190
2027-08-01,195
2027-09-01,200
2027-10-01,205
2027-11-01,210
2027-12-01,215
""
