""
Topic,Expenditure (Million USD)
Philosophy,320
Ethics,280
Logic,450
Aesthetics,150
Metaphysics,200
Epistemology,370
Political Philosophy,310
Philosophy of Mind,220
Philosophy of Language,180
Philosophy of Science,400
Ancient Philosophy,140
Medieval Philosophy,170
Modern Philosophy,250
Contemporary Philosophy,300
Phenomenology,230
Existentialism,210
Pragmatism,190
Structuralism,160
Post-Structuralism,120
Analytic Philosophy,270
Continental Philosophy,290
Eastern Philosophy,310
African Philosophy,220
Latin American Philosophy,200
Feminist Philosophy,180
Environmental Philosophy,260
Philosophy of Religion,330
Philosophy of Technology,340
Philosophy of Mathematics,230
Philosophy of Art,180
Philosophy of Literature,150
Philosophy of History,140
Philosophy of Education,210
Philosophy of Law,290
Philosophy of Music,240
Philosophy of Sport,200
""
