""
Date,Participants
2024-01-01,150
2024-02-01,152
2024-03-01,148
2024-04-01,153
2024-05-01,157
2024-06-01,160
2024-07-01,162
2024-08-01,161
2024-09-01,165
2024-10-01,170
2024-11-01,167
2024-12-01,172
2025-01-01,175
2025-02-01,178
2025-03-01,180
2025-04-01,183
2025-05-01,185
2025-06-01,190
2025-07-01,192
2025-08-01,195
2025-09-01,198
2025-10-01,200
2025-11-01,202
2025-12-01,205
2026-01-01,208
2026-02-01,210
2026-03-01,212
2026-04-01,215
2026-05-01,217
2026-06-01,220
2026-07-01,222
2026-08-01,225
2026-09-01,227
2026-10-01,230
2026-11-01,232
2026-12-01,235
2027-01-01,238
2027-02-01,240
2027-03-01,242
2027-04-01,245
2027-05-01,247
2027-06-01,250
2027-07-01,252
2027-08-01,255
2027-09-01,257
2027-10-01,260
2027-11-01,262
2027-12-01,265
""
