""
Date,Calories
2024-06-01,2200
2024-06-02,2150
2024-06-03,2250
2024-06-04,2100
2024-06-05,2300
2024-06-06,2350
2024-06-07,2400
2024-06-08,2250
2024-06-09,2500
2024-06-10,2450
2024-06-11,2550
2024-06-12,2600
2024-06-13,2650
2024-06-14,2700
2024-06-15,2750
2024-06-16,2800
2024-06-17,2850
2024-06-18,2900
2024-06-19,2950
2024-06-20,3000
2024-06-21,3050
2024-06-22,3100
2024-06-23,3150
2024-06-24,3200
2024-06-25,3250
2024-06-26,3300
2024-06-27,3350
2024-06-28,3400
2024-06-29,3450
2024-06-30,3500
""
