""
Date,Electricity_Consumption
2023-01-01,320
2023-01-02,310
2023-01-03,315
2023-01-04,322
2023-01-05,340
2023-01-06,335
2023-01-07,345
2023-01-08,360
2023-01-09,358
2023-01-10,370
2023-01-11,360
2023-01-12,375
2023-01-13,380
2023-01-14,370
2023-01-15,360
2023-01-16,350
2023-01-17,355
2023-01-18,362
2023-01-19,340
2023-01-20,330
2023-01-21,335
2023-01-22,345
2023-01-23,350
2023-01-24,365
2023-01-25,370
2023-01-26,375
2023-01-27,380
2023-01-28,385
2023-01-29,390
2023-01-30,387
2023-01-31,385
""
