""
Date,Stock_Price
2023-05-01,150
2023-05-02,158
2023-05-03,157
2023-05-04,165
2023-05-05,170
2023-05-06,175
2023-05-07,172
2023-05-08,180
2023-05-09,185
2023-05-10,190
2023-05-11,195
2023-05-12,205
2023-05-13,210
2023-05-14,200
2023-05-15,210
2023-05-16,220
2023-05-17,230
2023-05-18,225
2023-05-19,235
2023-05-20,245
2023-05-21,255
2023-05-22,260
2023-05-23,265
2023-05-24,270
2023-05-25,280
2023-05-26,290
2023-05-27,300
2023-05-28,310
2023-05-29,305
2023-05-30,315
2023-05-31,325
2023-06-01,335
2023-06-02,340
2023-06-03,345
2023-06-04,350
2023-06-05,360
2023-06-06,370
2023-06-07,380
2023-06-08,390
2023-06-09,400
2023-06-10,410
2023-06-11,420
2023-06-12,430
2023-06-13,440
2023-06-14,450
2023-06-15,460
2023-06-16,470
2023-06-17,480
2023-06-18,490
2023-06-19,500
2023-06-20,510
2023-06-21,520
2023-06-22,530
2023-06-23,540
2023-06-24,550
2023-06-25,560
2023-06-26,570
2023-06-27,580
2023-06-28,590
2023-06-29,600
2023-06-30,610
""
