""
Date,Daily_Step_Count
2023-01-01,5020
2023-01-02,5140
2023-01-03,4980
2023-01-04,5230
2023-01-05,5400
2023-01-06,5450
2023-01-07,5600
2023-01-08,5750
2023-01-09,5800
2023-01-10,5950
2023-01-11,6100
2023-01-12,6200
2023-01-13,6300
2023-01-14,6150
2023-01-15,6000
2023-01-16,6050
2023-01-17,6150
2023-01-18,6200
2023-01-19,6350
2023-01-20,6450
2023-01-21,6600
2023-01-22,6700
2023-01-23,6800
2023-01-24,6950
2023-01-25,7100
2023-01-26,7200
2023-01-27,7300
2023-01-28,7450
2023-01-29,7600
2023-01-30,7700
2023-01-31,7850
""
