""
Date,Emissions
2024-01-01,500
2024-02-01,520
2024-03-01,480
2024-04-01,530
2024-05-01,570
2024-06-01,600
2024-07-01,625
2024-08-01,610
2024-09-01,650
2024-10-01,700
2024-11-01,675
2024-12-01,720
2025-01-01,750
2025-02-01,780
2025-03-01,800
2025-04-01,830
2025-05-01,850
2025-06-01,900
2025-07-01,920
2025-08-01,950
2025-09-01,980
2025-10-01,1000
2025-11-01,1025
2025-12-01,1050
2026-01-01,1080
2026-02-01,1100
2026-03-01,1130
2026-04-01,1150
2026-05-01,1180
2026-06-01,1200
2026-07-01,1225
2026-08-01,1250
2026-09-01,1275
2026-10-01,1300
2026-11-01,1325
2026-12-01,1350
""
