""
Date,Calories
2024-06-01,2100
2024-06-02,1950
2024-06-03,2200
2024-06-04,1850
2024-06-05,2000
2024-06-06,2250
2024-06-07,2050
2024-06-08,2150
2024-06-09,1900
2024-06-10,2000
2024-06-11,2300
2024-06-12,2100
2024-06-13,2200
2024-06-14,1950
2024-06-15,2050
2024-06-16,2150
2024-06-17,1900
2024-06-18,2000
2024-06-19,2300
2024-06-20,2100
2024-06-21,2200
2024-06-22,1850
2024-06-23,2000
2024-06-24,2250
2024-06-25,2050
2024-06-26,2150
2024-06-27,1900
2024-06-28,2000
2024-06-29,2300
2024-06-30,2100
""
