""
Week,Hours_Studied
Week 1,3
Week 2,5
Week 3,4
Week 4,6
Week 5,7
Week 6,8
Week 7,9
Week 8,7
Week 9,8
Week 10,6
Week 11,5
Week 12,7
Week 13,8
Week 14,9
Week 15,10
Week 16,11
Week 17,12
Week 18,10
Week 19,9
Week 20,8
Week 21,7
Week 22,6
Week 23,8
Week 24,9
Week 25,10
Week 26,11
Week 27,12
Week 28,10
Week 29,9
Week 30,8
Week 31,7
Week 32,6
Week 33,8
Week 34,9
Week 35,10
Week 36,11
Week 37,12
Week 38,10
Week 39,9
Week 40,8
Week 41,7
Week 42,6
Week 43,8
Week 44,9
Week 45,10
Week 46,11
Week 47,12
Week 48,10
Week 49,9
Week 50,8
Week 51,7
Week 52,6
""
