""
Date, Happiness Index
2023-01-01, 68
2023-01-02, 70
2023-01-03, 72
2023-01-04, 71
2023-01-05, 74
2023-01-06, 77
2023-01-07, 75
2023-01-08, 80
2023-01-09, 78
2023-01-10, 82
2023-01-11, 85
2023-01-12, 83
2023-01-13, 88
2023-01-14, 90
2023-01-15, 92
2023-01-16, 91
2023-01-17, 95
2023-01-18, 97
2023-01-19, 96
2023-01-20, 99
2023-01-21, 100
2023-01-22, 102
2023-01-23, 105
2023-01-24, 104
2023-01-25, 108
2023-01-26, 110
2023-01-27, 112
2023-01-28, 114
2023-01-29, 115
2023-01-30, 118
2023-01-31, 120
""
