""
Weeks,Weekly Savings ($)
Week 1,50
Week 2,60
Week 3,55
Week 4,70
Week 5,75
Week 6,80
Week 7,90
Week 8,85
Week 9,95
Week 10,100
Week 11,105
Week 12,110
Week 13,115
Week 14,120
Week 15,125
Week 16,130
Week 17,135
Week 18,140
Week 19,145
Week 20,150
Week 21,155
Week 22,160
Week 23,165
Week 24,170
Week 25,175
Week 26,180
Week 27,185
Week 28,190
Week 29,195
Week 30,200
Week 31,205
Week 32,210
Week 33,215
Week 34,220
Week 35,225
Week 36,230
Week 37,235
Week 38,240
Week 39,245
Week 40,250
Week 41,255
Week 42,260
Week 43,265
Week 44,270
Week 45,275
Week 46,280
Week 47,285
Week 48,290
Week 49,295
Week 50,300
Week 51,305
Week 52,310
""
