""
Date,Visitors
2023-01-01,1200
2023-01-02,1500
2023-01-03,1600
2023-01-04,1650
2023-01-05,1700
2023-01-06,1300
2023-01-07,1400
2023-01-08,1550
2023-01-09,1580
2023-01-10,1620
2023-01-11,1480
2023-01-12,1450
2023-01-13,1700
2023-01-14,1800
2023-01-15,1850
2023-01-16,1900
2023-01-17,2000
2023-01-18,2050
2023-01-19,1950
2023-01-20,1850
2023-01-21,1780
2023-01-22,1760
2023-01-23,1800
2023-01-24,1830
2023-01-25,1890
2023-01-26,1910
2023-01-27,1920
2023-01-28,1930
2023-01-29,2000
2023-01-30,2050
2023-01-31,2100
""
