""
Date,Steps
2023-01-01,3000
2023-01-02,5000
2023-01-03,4500
2023-01-04,7000
2023-01-05,8500
2023-01-06,6000
2023-01-07,6200
2023-01-08,7000
2023-01-09,7500
2023-01-10,8000
2023-01-11,9000
2023-01-12,9500
2023-01-13,10000
2023-01-14,10500
2023-01-15,11000
2023-01-16,11500
2023-01-17,12000
2023-01-18,12500
2023-01-19,13000
2023-01-20,13500
2023-01-21,14000
2023-01-22,14500
2023-01-23,15000
2023-01-24,15500
2023-01-25,16000
2023-01-26,16500
2023-01-27,17000
2023-01-28,17500
2023-01-29,18000
2023-01-30,18500
""
