""
Date,Steps
2024-06-01,7000
2024-06-02,8500
2024-06-03,9000
2024-06-04,7500
2024-06-05,8000
2024-06-06,9500
2024-06-07,10000
2024-06-08,10500
2024-06-09,9000
2024-06-10,8700
2024-06-11,9200
2024-06-12,9800
2024-06-13,9500
2024-06-14,10100
2024-06-15,8600
2024-06-16,8900
2024-06-17,9300
2024-06-18,9700
2024-06-19,9900
2024-06-20,10400
2024-06-21,8500
2024-06-22,8900
2024-06-23,9100
2024-06-24,9800
2024-06-25,9400
2024-06-26,9600
2024-06-27,10000
2024-06-28,8700
2024-06-29,9200
2024-06-30,9800
""
