""
Date,Innovation Index
2024-01,45
2024-02,47
2024-03,50
2024-04,55
2024-05,60
2024-06,62
2024-07,65
2024-08,70
2024-09,68
2024-10,72
2024-11,75
2024-12,78
2025-01,80
2025-02,82
2025-03,85
2025-04,88
2025-05,90
2025-06,92
2025-07,95
2025-08,97
2025-09,99
2025-10,100
2025-11,98
2025-12,95
2026-01,92
2026-02,90
2026-03,88
2026-04,85
2026-05,83
2026-06,80
2026-07,78
2026-08,75
2026-09,73
2026-10,70
2026-11,68
2026-12,65
2027-01,62
2027-02,60
2027-03,58
2027-04,55
2027-05,52
2027-06,50
2027-07,48
2027-08,45
""
