""
Date,Calories Burned
2024-01-01,2500
2024-01-02,2700
2024-01-03,2900
2024-01-04,3100
2024-01-05,2800
2024-01-06,3300
2024-01-07,3500
2024-01-08,3700
2024-01-09,3600
2024-01-10,3900
2024-01-11,4000
2024-01-12,4100
2024-01-13,4200
2024-01-14,4300
2024-01-15,4500
2024-01-16,4600
2024-01-17,4400
2024-01-18,4300
2024-01-19,4200
2024-01-20,4100
2024-01-21,4000
2024-01-22,3900
2024-01-23,3800
2024-01-24,3700
2024-01-25,3600
2024-01-26,3500
2024-01-27,3400
2024-01-28,3300
2024-01-29,3200
2024-01-30,3100
2024-01-31,3000
""
