""
Topic,Subscribers
Philosophy & Ethics,350
Music & Performing Arts,300
Food & Nutrition,280
Politics & Governance,260
Science & Nature,240
Culture & Society,220
Business & Entrepreneurship,210
Economics & Finance,200
History & Archaeology,180
Fashion & Beauty,160
Future Technologies & Society,150
Literature & Writing,140
Education & Learning,130
Environment & Climate Change,120
Health & Psychology,110
Entertainment & Leisure,100
Art & Design,90
Travel & Adventure,80
Sports & Fitness,70
Astronomy & Space Exploration,60
""
