Beverage, Price (USD)
Espresso, 2.75
Americano, 3.00
Latte, 3.95
Cappuccino, 3.85
Mocha, 4.10
Flat White, 3.65
Cortado, 3.10
Cold Brew, 3.50
Frappuccino, 4.45
Macchiato, 3.25
Espresso, 2.80
Americano, 3.05
Latte, 3.90
Cappuccino, 3.80
Mocha, 4.15
Flat White, 3.75
Cortado, 3.15
Cold Brew, 3.55
Frappuccino, 4.40
Macchiato, 3.20
Espresso, 2.85
Americano, 3.10
Latte, 3.99
Cappuccino, 3.89
Mocha, 4.20
Flat White, 3.70
Cortado, 3.05
Cold Brew, 3.45
Frappuccino, 4.30
Macchiato, 3.30
Espresso, 2.90
Americano, 3.00
Latte, 4.00
Cappuccino, 3.75
Mocha, 4.25
Flat White, 3.60
Cortado, 3.00
Cold Brew, 3.65
Frappuccino, 4.60
Macchiato, 3.40
Espresso, 2.95
Americano, 3.20
Latte, 3.85
Cappuccino, 3.70
Mocha, 4.05
Flat White, 3.55
Cortado, 2.95
Cold Brew, 3.40
Frappuccino, 4.50
Macchiato, 3.45
