Day, Cups of Coffee Consumed
Monday, 34
Tuesday, 30
Wednesday, 45
Thursday, 41
Friday, 50
Monday, 38
Tuesday, 31
Wednesday, 47
Thursday, 43
Friday, 52
Monday, 29
Tuesday, 33
Wednesday, 42
Thursday, 40
Friday, 51
Monday, 37
Tuesday, 36
Wednesday, 49
Thursday, 44
Friday, 53
Monday, 35
Tuesday, 32
Wednesday, 46
Thursday, 39
Friday, 48
Monday, 28
Tuesday, 34
Wednesday, 41
Thursday, 36
Friday, 49
Monday, 30
Tuesday, 31
Wednesday, 43
Thursday, 37
Friday, 50
Monday, 33
Tuesday, 32
Wednesday, 45
Thursday, 40
Friday, 51
Monday, 27
Tuesday, 35
Wednesday, 42
Thursday, 38
Friday, 52
Monday, 29
Tuesday, 37
Wednesday, 44
Thursday, 39
Friday, 53
Monday, 31
Tuesday, 28
