Month,Books Sold
January,850
February,760
March,940
April,860
May,880
June,910
July,890
August,930
September,845
October,810
November,970
December,1000
January,870
February,730
March,950
April,870
May,890
June,920
July,885
August,925
September,855
October,830
November,990
December,1010
January,860
February,740
March,960
April,855
May,875
June,900
July,880
August,920
September,865
October,820
November,980
December,995
January,840
February,750
March,930
April,845
May,865
June,915
July,870
August,910
September,850
October,800
November,965
December,1020
