Genre, Checkouts
Mystery, 120
Romance, 95
Science Fiction, 87
Biography, 76
Children's Books, 130
History, 65
Fantasy, 112
Self-Help, 90
Cookbooks, 58
Travel, 49
Mystery, 125
Romance, 80
Science Fiction, 92
Biography, 81
Children's Books, 120
History, 75
Fantasy, 114
Self-Help, 85
Cookbooks, 60
Travel, 53
Mystery, 122
Romance, 89
Science Fiction, 88
Biography, 70
Children's Books, 135
History, 62
Fantasy, 119
Self-Help, 93
Cookbooks, 55
Travel, 45
Mystery, 130
Romance, 82
Science Fiction, 80
Biography, 77
Children's Books, 125
History, 64
Fantasy, 105
Self-Help, 88
Cookbooks, 59
Travel, 50
Mystery, 118
Romance, 96
Science Fiction, 85
Biography, 68
Children's Books, 128
History, 70
Fantasy, 110
Self-Help, 86
Cookbooks, 54
Travel, 48
Mystery, 121
Romance, 83
Science Fiction, 91
Biography, 72
Children's Books, 132
History, 67
