Date,Steps
2023-01-01,5230
2023-01-02,6870
2023-01-03,7020
2023-01-04,5670
2023-01-05,6500
2023-01-06,7100
2023-01-07,7000
2023-01-08,4800
2023-01-09,5600
2023-01-10,6900
2023-01-11,8400
2023-01-12,7300
2023-01-13,5900
2023-01-14,7200
2023-01-15,7550
2023-01-16,6430
2023-01-17,6800
2023-01-18,6900
2023-01-19,7100
2023-01-20,5300
2023-01-21,8800
2023-01-22,4700
2023-01-23,6500
2023-01-24,7200
2023-01-25,7650
2023-01-26,4780
2023-01-27,6800
2023-01-28,7900
2023-01-29,5200
2023-01-30,6300
2023-01-31,7400
2023-02-01,7500
2023-02-02,7600
2023-02-03,7700
2023-02-04,7800
2023-02-05,6100
2023-02-06,5800
2023-02-07,5900
2023-02-08,6000
2023-02-09,6200
2023-02-10,6300
2023-02-11,6400
2023-02-12,5000
2023-02-13,5100
2023-02-14,5200
2023-02-15,5300
2023-02-16,5400
2023-02-17,6700
2023-02-18,6800
2023-02-19,6900
