Day,Books Borrowed
Monday,52
Tuesday,47
Wednesday,63
Thursday,58
Friday,36
Saturday,81
Sunday,29
Monday,54
Tuesday,49
Wednesday,65
Thursday,59
Friday,38
Saturday,83
Sunday,31
Monday,56
Tuesday,51
Wednesday,68
Thursday,61
Friday,40
Saturday,86
Sunday,33
Monday,57
Tuesday,53
Wednesday,70
Thursday,62
Friday,42
Saturday,88
Sunday,35
Monday,59
Tuesday,55
Wednesday,73
Thursday,64
Friday,44
Saturday,90
Sunday,37
Monday,60
Tuesday,56
Wednesday,75
Thursday,65
Friday,45
Saturday,92
Sunday,39
Monday,61
Tuesday,58
Wednesday,77
Thursday,67
Friday,47
Saturday,95
Sunday,40
Monday,62
Tuesday,60
