Individual,Number of Times Used
Individual 1,30
Individual 2,20
Individual 3,44
Individual 4,8
Individual 5,12
Individual 6,0
Individual 7,9
Individual 8,15
Individual 9,36
Individual 10,18
Individual 11,50
Individual 12,22
Individual 13,10
Individual 14,7
Individual 15,26
Individual 16,14
Individual 17,5
Individual 18,29
Individual 19,48
Individual 20,17
Individual 21,2
Individual 22,31
Individual 23,40
Individual 24,23
Individual 25,19
Individual 26,6
Individual 27,3
Individual 28,25
Individual 29,41
Individual 30,33
Individual 31,12
Individual 32,8
Individual 33,0
Individual 34,18
Individual 35,20
Individual 36,28
Individual 37,34
Individual 38,7
Individual 39,1
Individual 40,13
Individual 41,4
Individual 42,24
Individual 43,37
Individual 44,16
Individual 45,27
Individual 46,45
Individual 47,11
Individual 48,21
Individual 49,32
Individual 50,15
Individual 51,9
Individual 52,39
Individual 53,5
Individual 54,22
Individual 55,14
Individual 56,47
Individual 57,26
Individual 58,10
Individual 59,6
Individual 60,35
Individual 61,49
Individual 62,3
Individual 63,42
Individual 64,19
Individual 65,30
