Person,Cups of Coffee per Week
Person 1,14
Person 2,3
Person 3,21
Person 4,10
Person 5,12
Person 6,8
Person 7,0
Person 8,7
Person 9,5
Person 10,18
Person 11,4
Person 12,9
Person 13,1
Person 14,17
Person 15,2
Person 16,15
Person 17,6
Person 18,11
Person 19,19
Person 20,15
Person 21,3
Person 22,16
Person 23,14
Person 24,22
Person 25,8
Person 26,9
Person 27,4
Person 28,13
Person 29,7
Person 30,18
Person 31,5
Person 32,0
Person 33,10
Person 34,11
Person 35,6
Person 36,20
Person 37,4
Person 38,17
Person 39,21
Person 40,13
Person 41,9
Person 42,2
Person 43,12
Person 44,15
Person 45,22
Person 46,16
Person 47,7
Person 48,1
Person 49,14
Person 50,19
Person 51,3
Person 52,10
