Date, Steps
2023-01-01, 4750
2023-01-02, 8300
2023-01-03, 6900
2023-01-04, 7800
2023-01-05, 5600
2023-01-06, 8500
2023-01-07, 9000
2023-01-08, 4000
2023-01-09, 7500
2023-01-10, 5500
2023-01-11, 6200
2023-01-12, 8700
2023-01-13, 9900
2023-01-14, 7500
2023-01-15, 5300
2023-01-16, 6400
2023-01-17, 6700
2023-01-18, 7300
2023-01-19, 8100
2023-01-20, 8600
2023-01-21, 9300
2023-01-22, 4800
2023-01-23, 10500
2023-01-24, 5600
2023-01-25, 5800
2023-01-26, 7700
2023-01-27, 9100
2023-01-28, 8800
2023-01-29, 4500
2023-01-30, 7400
2023-01-31, 6100
2023-02-01, 6800
2023-02-02, 7900
2023-02-03, 5600
2023-02-04, 9400
2023-02-05, 8900
2023-02-06, 4100
2023-02-07, 7600
2023-02-08, 6500
2023-02-09, 8270
2023-02-10, 5600
2023-02-11, 9200
2023-02-12, 9750
2023-02-13, 7850
2023-02-14, 8450
2023-02-15, 6800
2023-02-16, 7200
2023-02-17, 8800
2023-02-18, 7700
2023-02-19, 5100
2023-02-20, 10500
2023-02-21, 5800
2023-02-22, 6000
2023-02-23, 7100
2023-02-24, 8300
2023-02-25, 9000
2023-02-26, 4650
2023-02-27, 7400
2023-02-28, 6150
