Day,Number of Visitors
Monday,320
Tuesday,285
Wednesday,340
Thursday,390
Friday,560
Saturday,610
Sunday,580
Monday,300
Tuesday,270
Wednesday,350
Thursday,410
Friday,570
Saturday,620
Sunday,600
Monday,310
Tuesday,260
Wednesday,360
Thursday,400
Friday,550
Saturday,630
Sunday,610
Monday,320
Tuesday,240
Wednesday,330
Thursday,395
Friday,575
Saturday,640
Sunday,595
Monday,315
Tuesday,275
Wednesday,365
Thursday,385
Friday,555
Saturday,615
Sunday,605
Monday,325
Tuesday,250
Wednesday,345
Thursday,405
Friday,565
Saturday,625
Sunday,590
Monday,335
Tuesday,290
Wednesday,355
Thursday,390
Friday,580
Saturday,605
Sunday,575
Monday,305
Tuesday,265
Wednesday,375
Thursday,380
Friday,560
Saturday,615
Sunday,585
