""
Year,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,AI,Robotics,Quantum Computing,Blockchain,Biotechnology
2025,15,20,25,30,35,40,45,50,55,60,40,25,20,15
2026,20,25,30,35,40,45,50,55,60,65,35,20,15,10
2027,25,30,35,40,45,50,55,60,65,70,30,15,10,5
2028,30,35,40,45,50,55,60,65,70,75,25,10,5,0
2029,35,40,45,50,55,60,65,70,75,80,20,5,0,0
2030,40,45,50,55,60,65,70,75,80,85,15,0,0,0
2031,45,50,55,60,65,70,75,80,85,90,10,0,0,0
2032,50,55,60,65,70,75,80,85,90,95,5,0,0,0
2033,55,60,65,70,75,80,85,90,95,100,0,0,0,0
2034,60,65,70,75,80,85,90,95,100,105,0,0,0,0
""
