""
City,Revenue,Profit,Expenses
New York,500000,120000,380000
Los Angeles,450000,130000,320000
Chicago,300000,80000,220000
Houston,350000,90000,260000
Phoenix,320000,85000,235000
Philadelphia,280000,70000,210000
San Antonio,330000,95000,235000
San Diego,290000,75000,215000
Dallas,310000,85000,225000
San Jose,270000,65000,205000
Austin,260000,60000,200000
Jacksonville,240000,55000,185000
Fort Worth,250000,60000,190000
Columbus,230000,50000,180000
Charlotte,220000,52000,168000
San Francisco,400000,110000,290000
Indianapolis,210000,49000,161000
Seattle,380000,95000,285000
Denver,290000,72000,218000
Washington,370000,105000,265000
Boston,410000,115000,295000
El Paso,200000,46000,154000
Nashville,280000,70000,210000
Detroit,310000,81000,229000
Oklahoma City,270000,67000,203000
Las Vegas,360000,93000,267000
Baltimore,300000,75000,225000
Louisville,250000,62000,188000
Milwaukee,240000,60000,180000
Portland,340000,85000,255000
""
